"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.746790700E-1,-2.160120726E0,-2.761317253E0,-3.938585997E0
4.772043830E-1,-2.062014818E0,-2.842673302E0,-3.926621914E0
4.797296430E-1,-2.047657967E0,-2.868994236E0,-3.888336897E0
4.822549550E-1,-1.968694806E0,-2.924029350E0,-3.799503326E0
4.847802160E-1,-1.841576099E0,-2.993720293E0,-3.763610840E0
4.873055280E-1,-1.741077542E0,-3.055933714E0,-3.694219112E0
4.898307890E-1,-1.649851203E0,-3.103790045E0,-3.620041609E0
4.923561010E-1,-1.530210137E0,-3.197110176E0,-3.579064369E0
4.948813620E-1,-1.482353687E0,-3.264408350E0,-3.595814228E0
4.974066740E-1,-1.352842093E0,-3.364906788E0,-3.557528973E0
4.999319350E-1,-1.261914849E0,-3.453441381E0,-3.504886866E0
5.024572470E-1,-1.144666553E0,-3.575774431E0,-3.512065411E0
5.049825080E-1,-9.840483069E-1,-3.748356581E0,-3.464209080E0
5.075078200E-1,-8.787640929E-1,-3.903890133E0,-3.411566973E0
5.100330800E-1,-7.995018363E-1,-4.083651066E0,-3.423531055E0
5.125583930E-1,-7.013961077E-1,-4.272684097E0,-3.416352510E0
5.150836530E-1,-5.958128572E-1,-4.464408875E0,-3.375674486E0
5.176089660E-1,-5.312066078E-1,-4.684847832E0,-3.385245800E0
5.201342260E-1,-4.498506486E-1,-4.924428940E0,-3.375674486E0
5.226595390E-1,-3.852444589E-1,-5.173581600E0,-3.344567776E0
5.251848510E-1,-3.493520916E-1,-5.410770416E0,-3.356531858E0
5.277101120E-1,-3.299104273E-1,-5.635994434E0,-3.325126171E0
5.302353720E-1,-3.493520916E-1,-5.815456390E0,-3.298804998E0
5.327606850E-1,-3.565305769E-1,-6.074180126E0,-3.317947626E0
5.352859450E-1,-4.235295951E-1,-6.277869225E0,-3.317947626E0
5.378112580E-1,-4.881358147E-1,-6.486343861E0,-3.248555899E0
5.403365180E-1,-5.575276613E-1,-6.716353893E0,-3.279662609E0
5.428618300E-1,-6.200401783E-1,-6.919744015E0,-3.327518940E0
5.453870910E-1,-7.157530785E-1,-7.058826923E0,-3.322733402E0
5.479124030E-1,-8.210372925E-1,-7.252944469E0,-3.354139090E0
5.504376640E-1,-9.026923180E-1,-7.353443146E0,-3.416352510E0
5.529629240E-1,-9.888339639E-1,-7.482655525E0,-3.425923824E0
5.554882890E-1,-1.039083242E0,-7.616952896E0,-3.454637766E0
5.580135490E-1,-1.163809061E0,-7.738986492E0,-3.512065411E0
5.605388100E-1,-1.237986565E0,-7.832605839E0,-3.507279873E0
5.630641220E-1,-1.288235903E0,-7.892426491E0,-3.516851187E0
5.655893830E-1,-1.364806175E0,-7.940282822E0,-3.586242914E0
5.681146950E-1,-1.386341572E0,-8.024031639E0,-3.634398460E0
5.706399550E-1,-1.451246977E0,-8.062616348E0,-3.658326626E0
5.731234450E-1,-1.527817249E0,-8.115258217E0,-3.677469254E0
5.757682890E-1,-1.568495274E0,-8.165507317E0,-3.737289906E0
5.783018830E-1,-1.554138303E0,-8.203792572E0,-3.761218071E0
5.807799030E-1,-1.601994753E0,-8.256434441E0,-3.768396616E0
5.833051640E-1,-1.587637782E0,-8.287541389E0,-3.730111361E0
5.858738100E-1,-1.594816327E0,-8.270791054E0,-3.756432533E0
5.883169350E-1,-1.594816327E0,-8.289934158E0,-3.833002806E0
5.908422470E-1,-1.568495274E0,-8.277970314E0,-3.828217030E0
5.933675080E-1,-1.575673699E0,-8.220541954E0,-3.811467409E0
5.958928200E-1,-1.566102386E0,-8.148757935E0,-3.739682674E0
5.984180800E-1,-1.537388563E0,-8.062616348E0,-3.696611881E0
6.009433930E-1,-1.527817249E0,-7.971389771E0,-3.720540047E0
6.034686530E-1,-1.544566989E0,-7.813463211E0,-3.660719633E0
6.060327680E-1,-1.594816327E0,-7.688737392E0,-3.473780155E0
6.085192260E-1,-1.496710539E0,-7.561917782E0,-3.224627733E0
6.110445390E-1,-1.420140266E0,-7.403692245E0,-3.064009428E0
6.135697990E-1,-1.369591832E0,-7.272087097E0,-2.965903759E0
6.160951120E-1,-1.381555915E0,-7.156932354E0,-2.953939438E0
6.186203720E-1,-1.314556956E0,-7.030112743E0,-2.874976397E0
6.211456850E-1,-1.204487085E0,-6.914958477E0,-2.731107950E0
6.236709970E-1,-1.132403374E0,-6.778567314E0,-2.474776745E0
6.261962580E-1,-1.108475089E0,-6.584449768E0,-2.122732878E0
6.287215700E-1,-1.048654556E0,-6.469594002E0,-1.885544300E0
6.312468300E-1,-1.086939692E0,-6.380760670E0,-1.770688772E0
6.337720910E-1,-1.173380375E0,-6.323332787E0,-1.758724689E0
6.362974030E-1,-1.199701428E0,-6.299404621E0,-1.749153376E0
6.388227160E-1,-1.300199986E0,-6.292226315E0,-1.708176255E0
6.413479760E-1,-1.400698543E0,-6.318547249E0,-1.710569143E0
6.438732370E-1,-1.460818172E0,-6.448058605E0,-1.710569143E0
6.463985490E-1,-1.580459356E0,-6.608377934E0,-1.732403636E0
6.489238100E-1,-1.736291885E0,-6.718746662E0,-1.768295884E0
6.514491220E-1,-1.920539260E0,-6.943672180E0,-1.785045743E0
6.539743830E-1,-2.097907305E0,-7.135396957E0,-1.806581140E0
6.564996950E-1,-2.248954296E0,-7.339086056E0,-1.777867198E0
6.590249550E-1,-2.375773668E0,-7.616952896E0,-1.753939033E0
6.615502680E-1,-2.500499725E0,-7.861319542E0,-1.744367719E0
6.641143300E-1,-2.589034081E0,-8.151150703E0,-1.753939033E0
6.666008410E-1,-2.850150824E0,-8.306982994E0,-1.758724689E0
6.691261010E-1,-3.240479946E0,-8.390731812E0,-1.856830359E0
6.716514140E-1,-3.518346548E0,-8.568099976E0,-1.995913148E0
6.741766740E-1,-3.638286829E0,-8.733204842E0,-2.091626167E0
6.767019870E-1,-3.738785267E0,-8.915358543E0,-2.189731836E0
6.792272470E-1,-3.849154234E0,-9.032606125E0,-2.309672117E0
6.817525600E-1,-3.904189348E0,-9.190832138E0,-2.438884497E0
6.842778200E-1,-3.942474365E0,-9.322437286E0,-2.561217546E0
6.868031330E-1,-4.021437645E0,-9.435198784E0,-2.719143867E0
6.893283930E-1,-4.062115669E0,-9.533304214E0,-2.836691141E0
6.918537050E-1,-4.091128349E0,-9.621838570E0,-2.915654421E0
6.943789660E-1,-4.141377926E0,-9.633803368E0,-3.037688255E0
6.969042780E-1,-4.160520554E0,-9.619445801E0,-3.212663412E0
6.994295390E-1,-4.241876125E0,-9.617053032E0,-3.286840916E0
7.019548510E-1,-4.282554150E0,-9.511769295E0,-3.354139090E0
7.044801120E-1,-4.328018188E0,-9.425627708E0,-3.404388428E0
7.070054240E-1,-4.299304008E0,-9.351150513E0,-3.480958700E0
7.095306850E-1,-4.316053867E0,-9.248259544E0,-3.535993576E0
7.120559970E-1,-4.313661098E0,-9.090034485E0,-3.696611881E0
7.145812580E-1,-4.229912281E0,-8.987142563E0,-3.835395575E0
7.171065700E-1,-4.241876125E0,-8.958429337E0,-3.924229145E0
7.196318300E-1,-4.256233215E0,-8.816953659E0,-4.074976921E0
7.221571430E-1,-4.249054909E0,-8.757132530E0,-4.159024715E0
7.246824030E-1,-4.299304008E0,-8.771489143E0,-4.350450516E0
7.272077160E-1,-4.514957428E0,-8.793025017E0,-4.590032101E0
7.297329760E-1,-4.771288395E0,-8.850751877E0,-4.932504654E0
7.322582890E-1,-5.200201988E0,-8.929715157E0,-5.299204826E0
7.347835490E-1,-5.720042706E0,-9.056534767E0,-5.691926956E0
7.373088620E-1,-6.239883423E0,-9.272188187E0,-6.092126369E0
7.398341220E-1,-6.898507595E0,-9.530911446E0,-6.494419575E0
7.423594350E-1,-7.480561733E0,-9.801599503E0,-6.834798813E0
7.448846950E-1,-7.995616913E0,-1.013210869E1,-7.047760010E0
7.474100080E-1,-8.424530029E0,-1.041715336E1,-7.270591736E0
7.499352680E-1,-8.656932831E0,-1.081496048E1,-7.395317554E0
7.524605800E-1,-8.496315002E0,-1.115743256E1,-7.246663570E0
7.549858410E-1,-8.122735977E0,-1.133001518E1,-6.868298531E0
7.575111530E-1,-7.516454220E0,-1.152652550E1,-6.439384937E0
7.600364140E-1,-6.771687984E0,-1.162941742E1,-6.003293037E0
