"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.006081481E0,-3.030933380E0,-6.183656693E0,-7.099771500E-2
1.011125544E0,-2.392437935E0,-5.147107124E0,-5.190472603E-1
1.016169606E0,-1.328358173E0,-4.339756966E0,-1.181216717E0
1.021213617E0,-1.724078178E0,-4.802847385E0,-2.127460480E0
1.026294033E0,-2.617208004E0,-5.181564808E0,-2.592790604E0
1.031338096E0,-2.912806749E0,-5.080019474E0,-2.891978264E0
1.036382158E0,-2.211054325E0,-4.909011841E0,-2.667103767E0
1.041426221E0,-1.394922972E0,-4.469357014E0,-1.974103451E0
1.046470283E0,-1.100671768E0,-3.417329550E0,-1.657475948E0
1.051514294E0,-1.398616910E0,-2.137089729E0,-1.958775997E0
1.056594762E0,-1.641855121E0,-1.036186934E0,-2.247496605E0
1.061644867E0,-1.611126781E0,-3.020186424E-1,-2.412796021E0
1.066688877E0,-1.095442295E0,5.759048462E-2,-2.317764282E0
1.071819346E0,-3.557059765E-1,3.303956985E-1,-1.790600300E0
1.076863408E0,1.908900738E-1,3.063173294E-1,-7.030525208E-1
1.081907471E0,7.589547634E-1,5.018405914E-1,1.046185017E0
1.086951533E0,1.209994316E0,3.774623871E-1,1.949280739E0
1.091995596E0,1.297459364E0,3.766231537E-1,1.911125660E0
1.097038148E0,1.341578484E0,4.859805107E-1,1.619098186E0
1.102082210E0,1.231814146E0,2.658770084E-1,1.405626774E0
1.107126221E0,4.681763649E-1,-9.969639778E-2,1.275431156E0
1.112170283E0,3.648190498E-1,-8.545613289E-2,1.013555050E0
1.117214346E0,5.192933083E-1,-7.965803146E-2,6.008920670E-1
1.122258408E0,1.853137016E-1,-3.747830391E-1,1.167898178E-1
1.127338877E0,-3.473951817E-1,-7.667644024E-1,-2.377090454E-1
1.132382940E0,-9.376287460E-1,-1.131294250E0,-7.386455536E-1
1.137426950E0,-9.403957129E-1,-1.473154306E0,-3.240908623E0
1.142471012E0,-5.773007870E-1,-1.348410845E0,-7.468641281E0
1.147515075E0,-5.052176714E-1,-1.140067935E0,8.222742081E-1
1.152559137E0,5.900542736E-1,-1.635962009E0,-1.695946693E0
1.157600127E0,3.420495987E0,-1.880713701E0,-3.136764526E1
1.162644190E0,3.630346298E0,-2.198782444E0,-5.607009888E1
1.167688252E0,-4.040816784E0,-3.683407545E0,-3.551288605E1
1.172732315E0,-3.423579454E0,-4.955798149E0,-1.365219593E1
1.177776377E0,4.992812872E-2,-3.639971256E0,-2.044752121E0
1.182820387E0,1.899450421E-1,-2.640793324E0,2.480132103E0
1.187900856E0,-5.243396759E-1,-2.030367136E0,5.168895245E0
1.192944919E0,3.256865144E-1,-1.260577679E0,5.383192539E0
1.197988981E0,2.649264932E-1,-8.329419494E-1,4.785583019E0
1.203033044E0,-4.548260570E-1,-7.733356953E-1,3.995988369E0
1.208077106E0,-7.745922208E-1,-7.188129425E-1,2.356519222E0
1.213121117E0,-1.194517612E0,-5.271015167E-1,5.380573273E-1
1.218201533E0,-1.947626114E0,-5.000582933E-1,-1.154845238E0
1.223245596E0,-2.604355812E0,-7.793504596E-1,-1.988715172E0
1.228289658E0,-2.755864143E0,-1.085326433E0,-2.098099709E0
1.233333721E0,-2.163963318E0,-1.301941395E0,-1.587967873E0
1.238377783E0,-1.643265843E0,-1.544033527E0,-1.098312378E0
1.243421794E0,-1.151110888E0,-1.646521926E0,-6.822233200E-1
1.248502262E0,-7.222479582E-1,-1.834481716E0,-6.730861664E-1
1.253546325E0,-1.908774376E-1,-1.756491661E0,-1.060861588E0
1.258590387E0,2.355863452E-1,-1.690504313E0,-1.362217903E0
1.263634450E0,2.710786462E-1,-1.586453319E0,-1.438045502E0
1.268678512E0,-2.085477114E-1,-1.406885624E0,-1.379878998E0
1.273722523E0,-8.383504152E-1,-1.007660389E0,-1.320702553E0
1.278802940E0,-6.887945533E-1,-7.885292768E-1,-1.492067337E0
