"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.351972887E0,-1.483519936E1,3.769799948E0,8.327719879E1
1.361972887E0,-1.509140015E1,3.708799839E0,8.344799805E1
1.371972887E0,-1.534759998E1,3.708799839E0,8.346019745E1
1.381972887E0,-1.555499935E1,3.720999956E0,8.359439850E1
1.391972887E0,-1.582339954E1,3.611199856E0,8.364319611E1
1.401972887E0,-1.617720032E1,3.537999868E0,8.376519775E1
1.411972887E0,-1.657979965E1,3.464799881E0,8.364319611E1
1.421972887E0,-1.704339981E1,3.293999910E0,8.366759491E1
1.431972887E0,-1.742160034E1,3.208600044E0,8.382619476E1
1.441972887E0,-1.772659874E1,3.123199940E0,8.382619476E1
1.451972887E0,-1.803159904E1,2.940199852E0,8.381399536E1
1.461972887E0,-1.840979958E1,2.805999994E0,8.381399536E1
1.471972887E0,-1.869039917E1,2.708400011E0,8.387500000E1
1.481972887E0,-1.899539948E1,2.622999907E0,8.385060120E1
1.491972887E0,-1.916619873E1,2.610800028E0,8.386280060E1
1.501972887E0,-1.920279884E1,2.696199894E0,8.380179596E1
1.511972887E0,-1.923939896E1,2.671799898E0,8.375299835E1
1.521972887E0,-1.943459892E1,2.610800028E0,8.370420074E1
1.531972887E0,-1.969079971E1,2.720599890E0,8.380179596E1
1.541972887E0,-1.981279945E1,2.622999907E0,8.382619476E1
1.551972887E0,-1.997139931E1,2.622999907E0,8.376519775E1
1.561972887E0,-2.011779976E1,2.610800028E0,8.381399536E1
1.571972887E0,-2.034959984E1,2.537600040E0,8.391159821E1
1.581972887E0,-2.050819969E1,2.452199936E0,8.397259521E1
1.591972887E0,-2.077659988E1,2.366800070E0,8.403359985E1
1.601972887E0,-2.083759880E1,2.342400074E0,8.418000031E1
1.611972887E0,-2.099619865E1,2.232599974E0,8.437519836E1
1.621972887E0,-2.124020004E1,2.147199869E0,8.435079956E1
1.631972887E0,-2.141099930E1,2.122799873E0,8.461920166E1
1.641972887E0,-2.148419952E1,2.049599886E0,8.474119568E1
1.651972887E0,-2.150860023E1,1.988600016E0,8.482659912E1
1.661972887E0,-2.160619926E1,1.915399909E0,8.500959778E1
1.671972887E0,-2.158180046E1,1.939799905E0,8.515599823E1
1.681972887E0,-2.152079964E1,1.964200020E0,8.527799988E1
1.691972887E0,-2.126459885E1,2.013000011E0,8.532679749E1
1.701972887E0,-2.078879929E1,2.232599974E0,8.547319794E1
1.711972887E0,-2.031299973E1,2.378999949E0,8.544879913E1
