"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.288871520E-1,-1.817647934E0,-9.097212791E0,-3.032902718E0
8.314129860E-1,-1.851147413E0,-9.097212791E0,-3.037688255E0
8.339329860E-1,-1.796112537E0,-9.073284149E0,-3.013760090E0
8.364588190E-1,-1.760220170E0,-9.027820587E0,-2.951546669E0
8.389846520E-1,-1.760220170E0,-8.956035614E0,-2.817548752E0
8.415104340E-1,-1.846361756E0,-8.860322952E0,-2.678465843E0
8.440362670E-1,-2.004587173E0,-8.747561455E0,-2.558824778E0
8.465621000E-1,-2.126621008E0,-8.702097893E0,-2.484348059E0
8.490878820E-1,-2.210669041E0,-8.599205971E0,-2.525026083E0
8.516137150E-1,-2.299203396E0,-8.481658936E0,-2.537289381E0
8.541395480E-1,-2.397309303E0,-8.357232094E0,-2.493919373E0
8.566653300E-1,-2.471486807E0,-8.254041672E0,-2.436491728E0
8.591911630E-1,-2.483749866E0,-8.127222061E0,-2.338385820E0
8.617169960E-1,-2.361416817E0,-8.060222626E0,-2.206481695E0
8.642370480E-1,-2.308774710E0,-7.968996525E0,-2.161017895E0
8.667628820E-1,-2.253739834E0,-7.909176350E0,-2.122732878E0
8.692887150E-1,-2.148156643E0,-7.899604797E0,-2.034198284E0
8.718144960E-1,-2.176870346E0,-7.880462170E0,-1.988435626E0
8.743403300E-1,-2.090728760E0,-7.885247707E0,-1.875972986E0
8.768661630E-1,-1.927717686E0,-7.868498325E0,-1.816152334E0
8.793919440E-1,-1.930110574E0,-7.849355698E0,-1.732403636E0
8.819177770E-1,-2.004587173E0,-7.777570724E0,-1.624427438E0
8.844436110E-1,-2.066800594E0,-7.722237110E0,-1.471286774E0
8.869693920E-1,-2.186441660E0,-7.683951855E0,-1.401595831E0
8.894952250E-1,-2.275275230E0,-7.573882103E0,-1.241276741E0
8.920210590E-1,-2.265703917E0,-7.523632526E0,-1.090229869E0
8.945410590E-1,-2.306381941E0,-7.521239758E0,-9.251250625E-1
8.970668920E-1,-2.332702875E0,-7.559525013E0,-8.410771489E-1
8.995927250E-1,-2.337488651E0,-7.516454220E0,-7.549355626E-1
9.021185070E-1,-2.342274189E0,-7.542775154E0,-7.214360237E-1
9.046443400E-1,-2.330310106E0,-7.657630444E0,-7.166503668E-1
9.071701730E-1,-2.323131800E0,-7.719843864E0,-7.238288522E-1
9.096959550E-1,-2.306381941E0,-7.775177956E0,-6.831508875E-1
9.122217880E-1,-2.217847586E0,-7.904390335E0,-7.070791125E-1
9.147476210E-1,-2.129014015E0,-8.012067795E0,-7.429714203E-1
9.172734020E-1,-2.030908108E0,-8.148757935E0,-7.262216806E-1
9.197992360E-1,-1.877468467E0,-8.220541954E0,-7.286145091E-1
9.223250690E-1,-1.729113460E0,-8.309375763E0,-7.716853023E-1
9.248451210E-1,-1.587637782E0,-8.414659500E0,-8.051848412E-1
9.273709550E-1,-1.432104349E0,-8.429017067E0,-8.027920127E-1
9.298967880E-1,-1.247557878E0,-8.484051704E0,-8.315058947E-1
9.324225690E-1,-1.065404296E0,-8.512765884E0,-8.291130662E-1
9.349484020E-1,-8.569296002E-1,-8.510373116E0,-7.501499057E-1
9.374742360E-1,-6.607181430E-1,-8.371588707E0,-7.262216806E-1
9.400000170E-1,-5.144568682E-1,-8.285148621E0,-6.565307379E-1
9.425258500E-1,-4.546363056E-1,-8.246863365E0,-5.991029739E-1
9.450516840E-1,-3.421736360E-1,-8.132007599E0,-5.871388316E-1
9.475774650E-1,-2.341975123E-1,-8.016853333E0,-5.656034350E-1
9.501032980E-1,-1.576271951E-1,-7.935497284E0,-5.177469850E-1
