"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.159838710E-1,5.378441811E-1,-8.716964722E-2,-1.205110550E-1
8.210355380E-1,2.269059420E-1,-6.183528900E-2,-1.485934258E-1
8.260871520E-1,-9.617233276E-2,-6.942749023E-3,-1.690104008E-1
8.311329860E-1,-3.034015894E-1,4.390811920E-2,-2.484228611E-1
8.361846520E-1,-3.110730648E-1,1.241712570E-1,-2.724921703E-1
8.412362670E-1,-3.994493484E-1,2.979125977E-1,-1.157612801E-1
8.462878820E-1,-7.219387293E-1,5.097923279E-1,3.107380867E-2
8.513395480E-1,-9.680370092E-1,7.202215195E-1,-5.800318718E-2
8.563911630E-1,-1.201084733E0,9.779443741E-1,-7.169485092E-2
8.614370480E-1,-1.239696145E0,1.209988594E0,4.101657867E-2
8.664887150E-1,-1.147394896E0,1.382141113E0,9.123277664E-2
8.715403300E-1,-1.076321840E0,1.447225571E0,1.413269043E-1
8.765919440E-1,-9.695459604E-1,1.475077629E0,2.256059647E-1
8.816436110E-1,-9.723332524E-1,1.551667690E0,3.115913868E-1
8.866952250E-1,-1.171946764E0,1.673083782E0,4.703865051E-1
8.917410590E-1,-1.350399852E0,1.836518764E0,6.566597223E-1
8.967927250E-1,-1.429102182E0,1.852511406E0,8.534618616E-1
9.018443400E-1,-1.473833799E0,1.869475365E0,9.125573635E-1
9.068959550E-1,-1.480424047E0,1.715920448E0,8.463172913E-1
9.119476210E-1,-1.431795001E0,1.570294380E0,7.893136144E-1
9.169992360E-1,-1.263446331E0,1.334939003E0,6.707030535E-1
9.220451210E-1,-9.994832277E-1,1.155755043E0,5.790824890E-1
9.270967880E-1,-7.183967233E-1,1.003942490E0,4.523540735E-1
9.321484020E-1,-3.780018091E-1,9.318275452E-1,3.563145399E-1
9.372000170E-1,5.501568317E-3,9.926710129E-1,3.808823824E-1
9.422516840E-1,2.647503018E-1,1.169170380E0,4.248673916E-1
9.473032980E-1,4.456541538E-1,1.360723495E0,4.115285873E-1
9.523491840E-1,5.698714256E-1,1.558959007E0,3.972766399E-1
9.574008500E-1,5.459329486E-1,1.786511421E0,3.130583167E-1
9.624524650E-1,4.078782201E-1,1.974158287E0,1.978225112E-1
9.675040800E-1,1.031751037E-1,2.134027958E0,-5.034321547E-2
9.725557460E-1,-2.251316905E-1,2.213847160E0,-3.156422973E-1
9.776073610E-1,-6.109066606E-1,2.184301376E0,-5.645555258E-1
9.826531940E-1,-1.085441113E0,2.060282707E0,-8.921129704E-1
9.877048610E-1,-1.391706467E0,1.911430836E0,-1.227830410E0
9.927564750E-1,-1.304440260E0,1.598583221E0,-1.436374307E0
9.978080900E-1,-1.219584465E0,1.265699387E0,-1.575486898E0
1.002859757E0,-1.120542049E0,9.963426590E-1,-1.705120444E0
1.007911371E0,-8.991104364E-1,7.616214752E-1,-2.025230646E0
1.012957205E0,-5.906016231E-1,6.078023911E-1,-2.383399725E0
1.018008871E0,-3.268433213E-1,4.308147430E-1,-2.855534554E0
1.023060486E0,-1.504794955E-1,3.153343201E-1,-3.211434603E0
1.028112100E0,-2.895057201E-3,1.919307709E-1,-3.456895113E0
1.033163767E0,3.254705667E-2,4.158210754E-2,-3.549230814E0
1.038215382E0,2.439987659E-2,-1.141452789E-1,-3.571913481E0
1.043261267E0,-6.437695026E-2,-3.359642029E-1,-3.498959303E0
1.048312934E0,-2.035248280E-1,-5.746870041E-1,-3.316468716E0
1.053364548E0,-2.069928646E-1,-8.099555969E-1,-3.045584679E0
1.058416163E0,-2.291338444E-1,-1.045357704E0,-2.674150944E0
1.063467830E0,-4.829084873E-2,-1.286816597E0,-2.267133236E0
1.068519444E0,1.959453821E-1,-1.529493332E0,-1.901892900E0
1.073565277E0,4.847401977E-1,-1.686332703E0,-1.665907979E0
1.078616944E0,7.544835210E-1,-1.793499947E0,-1.545853615E0
1.083668559E0,8.976022601E-1,-1.854790688E0,-1.518576741E0
1.088720173E0,9.857077599E-1,-1.870401382E0,-1.554969549E0
1.093771840E0,9.986541271E-1,-1.674889565E0,-1.641559601E0
1.098823455E0,9.104185104E-1,-1.407531738E0,-1.703286648E0
1.103869340E0,7.256111503E-1,-1.099711418E0,-1.829597354E0
1.108921007E0,5.710351467E-1,-9.363765717E-1,-2.014551401E0
1.113972621E0,4.656724334E-1,-9.597549438E-1,-2.201679468E0
1.119024236E0,3.250855505E-1,-1.048610687E0,-2.384755373E0
1.124075902E0,2.346163988E-1,-1.346929550E0,-2.488519907E0
1.129127517E0,2.193354368E-1,-1.756012917E0,-2.569471836E0
1.134173350E0,2.704998255E-1,-2.162118912E0,-2.622830868E0
1.139224236E0,3.933781385E-1,-2.549766541E0,-2.626040220E0
1.144275069E0,5.229828358E-1,-2.834412575E0,-2.576683044E0
1.149325955E0,5.091276169E-1,-3.052323341E0,-2.570808172E0
1.154376840E0,4.765918255E-1,-3.212159157E0,-2.533328533E0
1.159427673E0,3.962340355E-1,-3.471580505E0,-2.485955715E0
1.164477361E0,2.650726438E-1,-3.813415527E0,-2.345039606E0
1.169528246E0,1.142032743E-1,-4.357729912E0,-2.052717686E0
1.174579080E0,-1.034226418E-1,-5.150092125E0,-1.603957891E0
1.179629965E0,-3.339892626E-1,-6.173913002E0,-9.463434815E-1
1.184680850E0,-4.836450219E-1,-7.243379593E0,-2.508754134E-1
1.189731684E0,-6.044260859E-1,-8.216446877E0,2.192991972E-1
1.194781423E0,-7.039045691E-1,-8.645279884E0,5.752166510E-1
1.199832309E0,-7.977562547E-1,-8.607530594E0,6.182131767E-1
1.204883142E0,-8.754022717E-1,-8.365261078E0,3.038020134E-1
1.209934027E0,-1.071192026E0,-8.095877647E0,-1.036821604E-1
1.214984913E0,-1.374028444E0,-8.008188248E0,-6.158778667E-1
1.220035746E0,-1.680395603E0,-7.889087677E0,-1.070402741E0
1.225085434E0,-1.973657370E0,-7.540730476E0,-1.623627186E0
1.230136319E0,-2.107799053E0,-6.868687630E0,-2.292402744E0
1.235187152E0,-2.199613571E0,-5.809908867E0,-3.138652563E0
1.240238038E0,-2.172851801E0,-4.575942993E0,-4.038375854E0
1.245288923E0,-2.063825369E0,-3.427518845E0,-4.902898788E0
1.250339757E0,-2.151054859E0,-2.254709244E0,-5.695086479E0
1.255389444E0,-2.194703817E0,-1.297564507E0,-6.222223282E0
1.260440330E0,-2.290315866E0,-6.425151825E-1,-6.498665333E0
1.265491163E0,-2.298411369E0,-3.303470612E-1,-6.544032574E0
1.270542048E0,-2.322844982E0,-1.918716431E-1,-6.450382710E0
1.275592934E0,-2.287929058E0,-1.003885269E-1,-6.193024635E0
1.280643767E0,-2.262136459E0,-7.293701172E-3,-5.859773636E0
1.285693507E0,-2.250174761E0,2.409667969E-1,-5.326304436E0
1.290744392E0,-2.307532549E0,6.184215546E-1,-4.715754032E0
