"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.070740417E0,-4.773736373E-2,6.029475108E-2,1.981486976E-1
1.080686417E0,3.338012472E-2,2.005048543E-1,1.616708487E-1
1.090631417E0,7.929307967E-2,2.883701622E-1,1.833582371E-1
1.100576417E0,1.038532853E-1,3.432757556E-1,2.399466932E-1
1.110522417E0,1.218376979E-1,3.720553517E-1,3.148997724E-1
1.120467417E0,1.024328470E-1,2.638332546E-1,3.648614585E-1
1.130412417E0,2.737594768E-2,6.558915228E-2,4.194574356E-1
1.140358417E0,-6.945818663E-2,-8.663766831E-2,4.893664718E-1
1.150303417E0,-1.630602479E-1,-1.790023297E-1,5.643872023E-1
1.160248417E0,-3.509835303E-1,-4.890712500E-1,5.836319923E-1
1.170194417E0,-5.687226057E-1,-1.069857240E0,4.185957909E-1
1.180139417E0,-7.956135273E-1,-1.410033464E0,2.779294848E-1
1.190084417E0,-1.017000079E0,-1.553219080E0,1.826252937E-1
1.200030417E0,-1.182586432E0,-1.578078389E0,1.050394326E-1
1.209975417E0,-1.241310120E0,-1.551008105E0,3.273366392E-2
1.219920417E0,-1.162359357E0,-1.438279986E0,-4.605728760E-2
1.229866417E0,-9.826844335E-1,-1.257310629E0,-1.299621463E-1
1.239811417E0,-7.552435398E-1,-1.062152743E0,-1.847175360E-1
1.249756417E0,-5.408060551E-1,-8.280484080E-1,-2.020038515E-1
1.259701417E0,-3.401054144E-1,-6.138697863E-1,-1.938247532E-1
1.269647417E0,-1.709747910E-1,-4.368166029E-1,-1.621500701E-1
1.279592417E0,-5.777020007E-2,-2.698451877E-1,-1.324414462E-1
1.289537417E0,-8.317137137E-3,-1.438344568E-1,-1.457729191E-1
1.299483417E0,-1.510553434E-2,-1.369834691E-1,-2.218642235E-1
1.309428417E0,-5.764332414E-2,-1.757954210E-1,-3.210156858E-1
1.319373417E0,-1.789441854E-1,-2.504885793E-1,-4.055705369E-1
1.329319417E0,-3.065729737E-1,-3.219040930E-1,-4.338054359E-1
1.339264417E0,-3.745456338E-1,-3.541760147E-1,-3.409045339E-1
1.349209417E0,-5.843635798E-1,-6.477472186E-1,-2.725826800E-1
1.359155417E0,-9.043229222E-1,-1.030997753E0,-3.446627259E-1
1.369100417E0,-1.033458948E0,-1.280028701E0,-3.876501918E-1
1.379045417E0,-1.021826267E0,-1.304806471E0,-4.208773971E-1
1.388991417E0,-9.272139668E-1,-1.089419842E0,-3.988956213E-1
1.398936417E0,-7.417657971E-1,-8.609422445E-1,-3.940507770E-1
1.408881417E0,-6.295105219E-1,-7.072084546E-1,-4.335217476E-1
1.418826417E0,-5.505105257E-1,-5.997762680E-1,-5.374995470E-1
1.428772417E0,-5.061312914E-1,-5.298514366E-1,-6.554325223E-1
1.438717417E0,-5.183954239E-1,-5.274686813E-1,-7.880334258E-1
1.448662417E0,-5.213827491E-1,-5.672134757E-1,-9.176517725E-1
1.458608417E0,-4.898924530E-1,-5.626757145E-1,-9.840989709E-1
1.468553417E0,-4.748638868E-1,-5.639908910E-1,-1.029901147E0
1.478498417E0,-4.724742174E-1,-5.718551874E-1,-1.018543005E0
1.488444417E0,-4.470001757E-1,-5.873718858E-1,-9.649922252E-1
1.498389417E0,-4.259337783E-1,-5.669651628E-1,-8.859664202E-1
1.508334417E0,-3.993403316E-1,-5.090653896E-1,-7.863331437E-1
1.518280417E0,-3.567129672E-1,-4.411540031E-1,-6.447421908E-1
1.528225417E0,-3.042355180E-1,-3.795258999E-1,-4.685205519E-1
1.538170417E0,-2.439104170E-1,-3.315477371E-1,-2.835595012E-1
1.548116417E0,-1.616446078E-1,-2.778711915E-1,-1.104453281E-1
1.558061417E0,-7.247771323E-2,-2.131494582E-1,2.974426746E-2
1.568006417E0,-4.287035763E-2,-1.369230896E-1,6.058594584E-2
1.577952417E0,-7.303306833E-3,-1.154087484E-1,2.251472883E-2
1.587897417E0,-3.178909421E-2,-8.661175519E-2,1.023601275E-2
1.597842417E0,-1.043983176E-1,-5.802405626E-2,2.450895682E-2
1.607788417E0,-1.303566247E-1,-5.523351580E-2,1.430704724E-2
1.617733417E0,-1.356997341E-1,-9.941802174E-2,1.511531603E-2
1.627678417E0,-1.194587126E-1,-1.163586527E-1,2.722246200E-2
1.637623417E0,-9.765514731E-2,-1.109324619E-1,3.954996914E-2
1.647569417E0,-9.419596940E-2,-1.142654121E-1,4.106663913E-2
1.657514417E0,-1.069652885E-1,-1.274291426E-1,1.660017855E-2
1.667459417E0,-1.147348881E-1,-1.289473027E-1,1.555194240E-2
1.677405417E0,-1.076543480E-1,-1.229903474E-1,2.568713576E-2
1.687350417E0,-1.018519029E-1,-1.196855158E-1,2.806673944E-2
1.697295417E0,-9.393858910E-2,-1.053047180E-1,2.884624898E-2
1.707241417E0,-8.282420784E-2,-7.396790385E-2,2.886928990E-2
1.717186417E0,-7.851121575E-2,-5.117177591E-2,2.109179646E-2
1.727131417E0,-6.833491474E-2,-2.803179994E-2,1.538145449E-2
1.737077417E0,-6.206636131E-2,-5.850330926E-3,1.676656306E-2
1.747022417E0,-5.459341779E-2,8.370036259E-3,1.453801431E-2
1.756967417E0,-5.474228784E-2,1.935317926E-2,1.087057590E-2
1.766913417E0,-5.709604546E-2,2.384551242E-2,7.108396851E-3
1.776858417E0,-6.009236723E-2,3.149650618E-2,1.468029711E-2
1.786803417E0,-5.922508240E-2,3.997764736E-2,8.070395328E-3
1.796749417E0,-5.862773582E-2,5.149901658E-2,9.470951743E-3
1.806694417E0,-5.518564582E-2,5.304117501E-2,1.431949530E-2
1.816639417E0,-5.006998032E-2,5.852675438E-2,1.961731911E-2
1.826585417E0,-4.888716340E-2,5.549231172E-2,2.250199392E-2
1.836530417E0,-4.870606959E-2,5.271676928E-2,1.967770979E-2
1.846475417E0,-4.378672689E-2,4.524199665E-2,2.560749650E-2
1.856420417E0,-3.870781139E-2,4.304089397E-2,2.143192664E-2
1.866366417E0,-3.451580927E-2,4.667542130E-2,2.144774422E-2
1.876311417E0,-2.849706635E-2,4.762723669E-2,2.181312814E-2
1.886256417E0,-2.775889635E-2,4.957412183E-2,2.350483835E-2
1.896202417E0,-2.471037582E-2,7.008072734E-2,2.624469995E-2
1.906147417E0,-3.122570552E-2,5.956812948E-2,2.422530949E-2
1.916092417E0,-3.820052370E-2,4.815861583E-2,2.469962090E-2
1.926038417E0,-4.370083287E-2,4.563690349E-2,2.421681955E-2
1.935983417E0,-4.932915792E-2,4.004932567E-2,2.413399518E-2
1.945928417E0,-5.233854055E-2,3.734941408E-2,2.656694129E-2
1.955874417E0,-5.073451623E-2,2.847176604E-2,2.770783752E-2
1.965819417E0,-5.408385023E-2,2.237628400E-2,2.587122843E-2
1.975764208E0,-5.462500453E-2,1.647418737E-2,2.792452648E-2
1.985710208E0,-5.443076789E-2,2.134115249E-2,2.782748081E-2
1.995655208E0,-6.047694013E-2,1.926575042E-2,2.156212740E-2
2.005600208E0,-6.487976015E-2,2.329861373E-2,2.486873791E-2
2.015546208E0,-6.386296451E-2,3.114348650E-2,2.190330625E-2
2.025491208E0,-6.806750596E-2,3.373694792E-2,2.078703418E-2
2.035436208E0,-6.797242910E-2,3.155182675E-2,2.283846959E-2
2.045381208E0,-6.780668348E-2,3.524612263E-2,2.887792327E-2
2.055327208E0,-6.996037811E-2,3.453825787E-2,3.121324815E-2
2.065272208E0,-7.144688070E-2,4.082746431E-2,4.020253196E-2
2.075217208E0,-7.849227637E-2,2.511934005E-2,3.908666596E-2
2.085163208E0,-7.150971144E-2,1.490318775E-2,4.016121849E-2
2.095108208E0,-7.009877264E-2,1.480971090E-2,4.921676591E-2
2.105053208E0,-8.036042005E-2,-2.112204209E-3,5.763197690E-2
2.114999208E0,-7.826744765E-2,-1.998334751E-2,5.931749195E-2
2.124944208E0,-7.495918125E-2,-2.954732813E-2,6.577308476E-2
2.134889208E0,-7.167389989E-2,-3.396631405E-2,7.167944312E-2
2.144835208E0,-7.524912804E-2,-3.897689655E-2,7.985805720E-2
2.154780208E0,-8.763841540E-2,-4.320945963E-2,8.660490811E-2
2.164725208E0,-9.942186624E-2,-5.280250683E-2,9.122997522E-2
2.174671208E0,-9.912358969E-2,-5.694212765E-2,9.139402956E-2
2.184616208E0,-9.731039405E-2,-5.245074257E-2,8.719135076E-2
2.194561208E0,-8.943808824E-2,-6.338647753E-2,8.943825960E-2
2.204507208E0,-9.291189164E-2,-6.039087847E-2,8.817410469E-2
2.214452208E0,-9.939642251E-2,-5.408664420E-2,8.858714998E-2
2.224397208E0,-1.013521105E-1,-5.206793174E-2,8.666791022E-2
2.234343208E0,-1.109333709E-1,-6.602023542E-2,8.527774364E-2
2.244288208E0,-1.119167432E-1,-7.526029646E-2,8.706096560E-2
2.254233208E0,-1.082437113E-1,-8.945334703E-2,8.416504413E-2
2.264179208E0,-1.074558944E-1,-1.099178791E-1,8.763360232E-2
2.274124208E0,-1.091368794E-1,-1.289605349E-1,8.498296142E-2
2.284069208E0,-1.191053689E-1,-1.639627367E-1,8.880207688E-2
2.294014208E0,-1.247536615E-1,-1.951536834E-1,8.513117582E-2
2.303960208E0,-1.215965599E-1,-2.088468224E-1,8.341092616E-2
2.313905208E0,-1.132787094E-1,-2.212094814E-1,8.134697378E-2
2.323850208E0,-1.066067293E-1,-2.260305136E-1,8.463356644E-2
2.333796208E0,-1.052253470E-1,-2.192312032E-1,7.928726822E-2
2.343741208E0,-1.091955006E-1,-2.143750489E-1,7.523915917E-2
2.353686208E0,-1.075874791E-1,-2.026616633E-1,6.749415398E-2
2.363632208E0,-1.068318933E-1,-1.889617443E-1,5.673351511E-2
2.373577208E0,-1.069788933E-1,-1.734291315E-1,4.419988021E-2
2.383522208E0,-9.939708561E-2,-1.609110534E-1,3.100198135E-2
2.393468208E0,-8.929464966E-2,-1.552331895E-1,1.690480486E-2
2.403413208E0,-7.854311168E-2,-1.467162669E-1,3.575699404E-3
2.413358208E0,-6.339637935E-2,-1.352204531E-1,-1.445256919E-2
2.423304208E0,-5.490189046E-2,-1.115067974E-1,-2.332784422E-2
2.433249208E0,-4.981046170E-2,-9.462662041E-2,-2.611803636E-2
2.443194208E0,-3.011506423E-2,-5.532280728E-2,-2.798682451E-2
2.453140208E0,-1.569724269E-2,-1.076865662E-2,-2.329273522E-2
2.463085208E0,-8.437246084E-3,2.329222113E-2,-1.321115345E-2
2.473030208E0,-6.357050501E-3,5.671782419E-2,-8.997766301E-3
2.482976208E0,-3.097469453E-3,7.919006795E-2,-2.865282353E-3
2.492921208E0,-3.781368956E-3,8.328414708E-2,4.517266527E-3
2.502866208E0,-2.512163948E-3,7.082314044E-2,1.104801055E-2
2.512812208E0,-9.699236602E-3,5.132480711E-2,1.316522527E-2
2.522757208E0,-1.855497621E-2,3.007959202E-2,2.292921953E-2
2.532702208E0,-2.762703411E-2,1.750201546E-2,2.608959191E-2
2.542648208E0,-3.339794278E-2,7.391172461E-3,3.638736904E-2
2.552593208E0,-3.950483724E-2,-3.136569867E-3,3.889420629E-2
2.562538208E0,-4.246521741E-2,-9.649938904E-3,3.840213269E-2
2.572483208E0,-4.932525381E-2,-1.348781958E-2,4.171989858E-2
2.582429208E0,-5.181924999E-2,-2.386920154E-2,3.647899255E-2
2.592374208E0,-6.005773693E-2,-3.174417093E-2,2.887566760E-2
2.602319208E0,-6.508307159E-2,-3.343474492E-2,2.303529158E-2
2.612265208E0,-6.987516582E-2,-2.907568403E-2,1.474060956E-2
2.622210208E0,-7.047272474E-2,-4.534478113E-2,1.637891680E-2
2.632155208E0,-7.243547589E-2,-4.026080668E-2,1.993423700E-2
2.642101208E0,-7.678090781E-2,-4.486153275E-2,1.843149401E-2
2.652046208E0,-7.986085117E-2,-5.140811577E-2,1.834813692E-2
2.661991208E0,-8.291430026E-2,-5.464434996E-2,1.667576656E-2
2.671937208E0,-8.694898337E-2,-6.584107876E-2,1.581902802E-2
2.681882208E0,-9.073115140E-2,-7.271496207E-2,9.913519956E-3
2.691827208E0,-9.355968982E-2,-7.251815498E-2,6.848754361E-3
2.701773208E0,-9.529409558E-2,-7.681120932E-2,5.319771357E-3
2.711718208E0,-9.812130779E-2,-7.404844463E-2,5.475566722E-3
2.721663208E0,-9.565839916E-2,-7.934699208E-2,4.136834294E-3
2.731609208E0,-9.272360057E-2,-7.758158445E-2,6.425821222E-3
2.741554208E0,-8.231456578E-2,-7.702430338E-2,4.766719416E-3
2.751499208E0,-8.041679114E-2,-8.861970156E-2,6.810429506E-3
2.761445208E0,-7.460547239E-2,-9.538912028E-2,6.039867178E-3
2.771390208E0,-7.236521691E-2,-9.888584912E-2,4.743972793E-3
2.781335208E0,-6.829617172E-2,-9.508817643E-2,4.661265761E-3
2.791281208E0,-6.217675656E-2,-8.899059892E-2,1.838847995E-3
2.801226208E0,-5.535832420E-2,-8.427209407E-2,4.293891601E-3
2.811171208E0,-5.500252545E-2,-7.688235492E-2,2.624355257E-3
2.821116208E0,-4.938562587E-2,-6.696633995E-2,3.040042706E-3
2.831062208E0,-4.738505930E-2,-5.965782329E-2,3.916222602E-3
2.841007208E0,-4.560126364E-2,-5.215136707E-2,3.685516305E-3
2.850953208E0,-4.712645710E-2,-4.272324219E-2,2.048204653E-3
2.860898208E0,-4.616082087E-2,-2.960078232E-2,-1.001348253E-3
2.870843208E0,-4.919788986E-2,-2.880742587E-2,-4.269047640E-4
2.880788208E0,-5.220306665E-2,-2.106158435E-2,-4.387411289E-3
2.890734208E0,-6.508771330E-2,-1.796086505E-2,-5.326175597E-3
2.900679208E0,-7.266236842E-2,-1.801002026E-2,-6.818359718E-3
2.910624208E0,-8.001881838E-2,-1.965265907E-2,-1.402022783E-3
2.920570208E0,-8.268205822E-2,-2.839170583E-2,-1.859451178E-3
2.930515208E0,-8.760251105E-2,-3.334039450E-2,-2.346010879E-3
2.940460208E0,-8.678083122E-2,-4.332089424E-2,-1.725181937E-4
2.950406208E0,-8.359329402E-2,-4.786691070E-2,6.232345477E-4
2.960351208E0,-7.568483055E-2,-3.883334994E-2,9.135883301E-4
2.970296208E0,-6.271630526E-2,-2.588293329E-2,3.027605824E-3
2.980242083E0,-4.679219425E-2,-1.368645299E-2,5.499818362E-3
2.990187083E0,-2.640037052E-2,7.574626245E-3,9.524920024E-3
3.000132083E0,-8.296966553E-3,2.184312046E-2,1.126971375E-2
3.010078083E0,6.196488161E-3,2.659180202E-2,1.068887766E-2
3.020023083E0,1.776991598E-2,4.153183103E-2,1.859171316E-2
3.029968083E0,2.337027714E-2,5.060628429E-2,1.096388884E-2
3.039914083E0,2.702960931E-2,6.157980487E-2,-8.172639646E-4
3.049859083E0,2.462477610E-2,6.159977987E-2,-1.391175203E-3
3.059804083E0,2.138529532E-2,5.175220594E-2,-8.330957033E-3
3.069750083E0,1.719614305E-2,3.996106237E-2,-7.734941319E-3
3.079695083E0,1.316463854E-2,3.468374163E-2,-6.922794506E-3
3.089640083E0,7.350425236E-3,2.844688296E-2,-7.518810220E-3
3.099586083E0,8.808841929E-3,2.634633519E-2,-7.203711662E-3
3.109531083E0,1.119183749E-2,2.212069742E-2,-5.800225772E-3
3.119476083E0,1.587553881E-2,1.747348160E-2,-5.195422098E-3
3.129421083E0,1.768648997E-2,1.049626619E-2,-6.922747940E-3
3.139367083E0,2.017831616E-2,1.375814341E-2,-9.167613462E-3
3.149312083E0,1.832342334E-2,1.825142838E-2,-1.294104569E-2
