"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.111026915E2,-7.371070862E0,4.793420792E1,6.052631378E0
2.111126375E2,-7.421943665E0,4.792749786E1,6.070587158E0
2.111225835E2,-7.466903687E0,4.785286331E1,6.021259308E0
2.111325285E2,-7.510086060E0,4.789925003E1,6.013584137E0
2.111424745E2,-7.334732056E0,4.791884613E1,5.925914764E0
2.111524195E2,-7.342620850E0,4.794266510E1,5.933395386E0
2.111623655E2,-7.212440491E0,4.790465546E1,5.769786835E0
2.111723105E2,-7.263992310E0,4.792862701E1,5.745468140E0
2.111822565E2,-7.351119995E0,4.788451385E1,5.812580109E0
2.111922025E2,-7.441741943E0,4.789850998E1,5.955436707E0
2.112021475E2,-7.564849854E0,4.790797043E1,5.899280548E0
2.112120935E2,-7.632736206E0,4.793146896E1,5.882389069E0
2.112220385E2,-7.608810425E0,4.785613632E1,5.900081635E0
2.112319845E2,-7.623558044E0,4.787392807E1,5.770717621E0
2.112419295E2,-7.642295837E0,4.786750793E1,5.632610321E0
2.112518755E2,-7.762298584E0,4.796036530E1,5.680446625E0
2.112618205E2,-7.798561096E0,4.795414352E1,5.866806030E0
2.112717664E2,-7.870101929E0,4.794120407E1,5.848487854E0
2.112817124E2,-7.822158813E0,4.800115204E1,5.750728607E0
2.112916574E2,-7.723861694E0,4.799695969E1,5.647052765E0
2.113016034E2,-7.646369934E0,4.814075470E1,5.554462433E0
2.113115484E2,-7.689918518E0,4.815636444E1,5.485141754E0
2.113214944E2,-7.731994629E0,4.803654099E1,5.535919189E0
2.113314394E2,-7.684349060E0,4.803891754E1,5.566165924E0
2.113413854E2,-7.649688721E0,4.807099915E1,5.703517914E0
2.113513314E2,-7.670623779E0,4.799512863E1,5.768505096E0
2.113612764E2,-7.645866394E0,4.796641541E1,5.668102264E0
2.113712224E2,-7.634178162E0,4.794669724E1,5.473255157E0
2.113811674E2,-7.659477234E0,4.788003159E1,5.483764648E0
2.113911134E2,-7.709114075E0,4.783137512E1,5.407341003E0
2.114010584E2,-7.763221741E0,4.792618561E1,5.665618896E0
2.114110044E2,-7.630790710E0,4.790959167E1,5.727981567E0
2.114209494E2,-7.676185608E0,4.787361908E1,5.826442719E0
2.114308954E2,-7.681114197E0,4.801958847E1,5.805477142E0
2.114408414E2,-7.621597290E0,4.814596939E1,5.847736359E0
2.114507864E2,-7.495582581E0,4.818109894E1,5.912574768E0
2.114607324E2,-7.512969971E0,4.796758270E1,5.877628326E0
2.114706774E2,-7.456710815E0,4.786399078E1,5.954963684E0
2.114806234E2,-7.568603516E0,4.777512360E1,5.985477448E0
2.114905684E2,-7.653465271E0,4.781666946E1,6.158603668E0
2.115005144E2,-7.623519897E0,4.795648575E1,6.176601410E0
