"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.192571417E0,-4.314777374E0,-6.061644745E0,1.548679504E0
1.202516417E0,-4.499044189E0,-6.601571960E0,1.444645844E0
1.212462417E0,-4.891528015E0,-6.997348938E0,1.349892883E0
1.222407417E0,-5.240153046E0,-7.497458954E0,1.395398254E0
1.232352417E0,-5.345234528E0,-7.774383087E0,1.469793549E0
1.242297417E0,-5.152585144E0,-7.824977875E0,1.452878723E0
1.252243417E0,-4.910688171E0,-7.743996277E0,1.442550201E0
1.262188417E0,-4.650678864E0,-7.623945923E0,1.452729034E0
1.272133417E0,-4.492158508E0,-7.613617401E0,1.497036896E0
1.282079417E0,-4.366270294E0,-7.465874634E0,1.331630859E0
1.292024417E0,-4.246369629E0,-7.473508759E0,1.307530975E0
1.301969417E0,-4.143383789E0,-7.821984100E0,1.330882416E0
1.311915417E0,-4.054319000E0,-8.051307220E0,1.374890900E0
1.321860417E0,-3.970792694E0,-8.192613373E0,1.160237274E0
1.331805417E0,-4.044738922E0,-8.540489960E0,8.396040344E-1
1.341751417E0,-4.533023529E0,-8.754095764E0,1.042581940E0
1.351696417E0,-4.319118347E0,-8.254135437E0,1.295106812E0
1.361641417E0,-3.181035004E0,-7.942034454E0,6.851252747E-1
1.371587417E0,-3.222199402E0,-8.436306610E0,4.279600525E-1
1.381532417E0,-3.298091583E0,-8.597671051E0,8.882528687E-1
1.391477417E0,-3.449426880E0,-8.870403900E0,1.136137390E0
1.401423417E0,-3.604803772E0,-9.308991852E0,1.333277435E0
1.411368417E0,-3.557352448E0,-1.007644592E1,1.279389496E0
1.421313417E0,-3.446882172E0,-1.061352905E1,1.085841980E0
1.431258417E0,-3.311114502E0,-1.068238586E1,1.024768982E0
1.441204417E0,-3.215164032E0,-1.064436493E1,8.517288208E-1
1.451149417E0,-3.335064697E0,-1.067400330E1,8.942404175E-1
1.461094417E0,-3.437900848E0,-1.078177917E1,9.776170349E-1
1.471040417E0,-3.468886414E0,-1.096035782E1,9.533674622E-1
1.480985417E0,-3.528312836E0,-1.114073273E1,9.746232605E-1
1.490930417E0,-3.502416687E0,-1.115330658E1,9.954299927E-1
1.500876417E0,-3.443738708E0,-1.111438751E1,9.466314697E-1
1.510821417E0,-3.270548859E0,-1.104074066E1,9.240284729E-1
1.520766417E0,-3.157234497E0,-1.106005051E1,9.859996033E-1
