"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.956190834E0,2.382659912E1,-6.234200001E0,3.091479874E1
2.966190834E0,2.392420006E1,-5.416800022E0,3.106119919E1
2.976190834E0,2.398519897E1,-4.526199818E0,3.112220001E1
2.986190834E0,2.407059860E1,-3.635599852E0,3.119540024E1
2.996190834E0,2.413159943E1,-2.793799877E0,3.126859856E1
3.006190834E0,2.414379883E1,-2.013000011E0,3.132959938E1
3.016190834E0,2.422920036E1,-1.244400024E0,3.141499901E1
3.026190834E0,2.416819954E1,-4.757999778E-1,3.143939972E1
3.036190834E0,2.411940002E1,2.073999941E-1,3.137839890E1
3.046190834E0,2.403400040E1,9.271999598E-1,3.125639915E1
3.056190834E0,2.392420006E1,1.671399951E0,3.109779930E1
3.066190834E0,2.381439972E1,2.513200045E0,3.084159851E1
3.076190834E0,2.371679878E1,3.342799902E0,3.068299866E1
3.086190834E0,2.358259964E1,4.294399738E0,3.059759903E1
3.096190834E0,2.337520027E1,5.087399960E0,3.045119858E1
3.106190834E0,2.325319862E1,6.063399792E0,3.024379921E1
3.116190834E0,2.310680008E1,7.027199745E0,2.999979973E1
3.126190834E0,2.289939880E1,8.052000046E0,2.991440010E1
3.136190834E0,2.276519966E1,8.906000137E0,2.984119987E1
3.146190834E0,2.265539932E1,9.918600082E0,2.981679916E1
3.156190834E0,2.260659981E1,1.085799980E1,2.957279968E1
3.166190834E0,2.255780029E1,1.167539978E1,2.920679855E1
3.176190834E0,2.258219910E1,1.250500011E1,2.875539970E1
3.186190834E0,2.260659981E1,1.327359962E1,2.821859932E1
3.196190834E0,2.269199944E1,1.405439949E1,2.766959953E1
3.206190834E0,2.281399918E1,1.476200008E1,2.709619904E1
3.216190834E0,2.297259903E1,1.548180008E1,2.647399902E1
3.226190834E0,2.318000031E1,1.598199940E1,2.590060043E1
3.236190834E0,2.328979874E1,1.659199905E1,2.536380005E1
3.246190834E0,2.336299896E1,1.712879944E1,2.499779892E1
3.256190834E0,2.343619919E1,1.760459900E1,2.461960030E1
3.266190834E0,2.350939941E1,1.794619942E1,2.432679939E1
3.276190834E0,2.355819893E1,1.826339912E1,2.408279991E1
3.286190834E0,2.363139915E1,1.848299980E1,2.388759995E1
3.296190834E0,2.376560020E1,1.869039917E1,2.374119949E1
3.306190834E0,2.387539864E1,1.881239891E1,2.353380013E1
3.316190834E0,2.413159943E1,1.888559914E1,2.336299896E1
3.326190834E0,2.430239868E1,1.900759888E1,2.320439911E1
3.336190834E0,2.452199936E1,1.912960052E1,2.308239937E1
3.346190834E0,2.468059921E1,1.922719955E1,2.277739906E1
3.356190834E0,2.490019989E1,1.938579941E1,2.259440041E1
3.366190834E0,2.510759926E1,1.958099937E1,2.243579865E1
3.376190834E0,2.521739960E1,1.983720016E1,2.220400047E1
3.386190834E0,2.530279922E1,2.015439987E1,2.195999908E1
3.396190834E0,2.536380005E1,2.053260040E1,2.180139923E1
3.406190834E0,2.548579979E1,2.097179985E1,2.152079964E1
3.416190834E0,2.554679871E1,2.142319870E1,2.120359993E1
3.426190834E0,2.560779953E1,2.193560028E1,2.109379959E1
3.436190834E0,2.563220024E1,2.239920044E1,2.077659988E1
3.446190834E0,2.560779953E1,2.298480034E1,2.037400055E1
3.456190834E0,2.561999893E1,2.358259964E1,1.991040039E1
3.466190834E0,2.563220024E1,2.419260025E1,1.949559975E1
3.476190834E0,2.560779953E1,2.472939873E1,1.897099876E1
3.486190834E0,2.554679871E1,2.520520020E1,1.836100006E1
3.496190834E0,2.554679871E1,2.577859879E1,1.784860039E1
3.506190834E0,2.558339882E1,2.624219894E1,1.737279892E1
3.516190834E0,2.559560013E1,2.675459862E1,1.700679970E1
3.526190834E0,2.553459930E1,2.708399963E1,1.667740059E1
3.536190834E0,2.559560013E1,2.735239983E1,1.645779991E1
3.546190834E0,2.566880035E1,2.755979919E1,1.629920006E1
3.556190834E0,2.586400032E1,2.766959953E1,1.634799957E1
3.566190834E0,2.618120003E1,2.769400024E1,1.637240028E1
3.576190834E0,2.669359970E1,2.746220016E1,1.648220062E1
3.586190834E0,2.729139900E1,2.723040009E1,1.657979965E1
3.596190834E0,2.805999947E1,2.687660027E1,1.670179939E1
3.606190834E0,2.897500038E1,2.649839973E1,1.689699936E1
3.616190834E0,2.996319962E1,2.596159935E1,1.714099884E1
3.626190834E0,3.096360016E1,2.537599945E1,1.756799889E1
3.636190834E0,3.190299988E1,2.476599884E1,1.799499893E1
3.646190834E0,3.284239960E1,2.415600014E1,1.866600037E1
3.656190834E0,3.340359879E1,2.360700035E1,1.976399994E1
3.666190834E0,3.378179932E1,2.313119888E1,2.099619865E1
3.676190834E0,3.389159775E1,2.267980003E1,2.246019936E1
3.686190834E0,3.380619812E1,2.236260033E1,2.398519897E1
3.696190834E0,3.352560043E1,2.216740036E1,2.546139908E1
3.706190834E0,3.325719833E1,2.211859894E1,2.663259888E1
3.716190834E0,3.309859848E1,2.213080025E1,2.760859871E1
3.726190834E0,3.293999863E1,2.216740036E1,2.830399895E1
3.736190834E0,3.304980087E1,2.226499939E1,2.840159988E1
3.746190834E0,3.346459961E1,2.219179916E1,2.803559875E1
3.756190834E0,3.407460022E1,2.208199883E1,2.724259949E1
3.766190834E0,3.500180054E1,2.183799934E1,2.613239861E1
3.776190834E0,3.600220108E1,2.144759941E1,2.490019989E1
3.786190834E0,3.706359863E1,2.097179985E1,2.355819893E1
3.796190834E0,3.800299835E1,2.045940018E1,2.238699913E1
3.806190834E0,3.888140106E1,1.988599968E1,2.133779907E1
3.816190834E0,3.966220093E1,1.936139870E1,2.048379898E1
3.826190834E0,4.013800049E1,1.897099876E1,1.994700050E1
3.836190834E0,4.054059982E1,1.860499954E1,1.955660057E1
3.846190834E0,4.076020050E1,1.825119972E1,1.927599907E1
3.856190834E0,4.093099976E1,1.799499893E1,1.911739922E1
3.866190834E0,4.104079819E1,1.772659874E1,1.901980019E1
3.876190834E0,4.113840103E1,1.751919937E1,1.893440056E1
3.886190834E0,4.118719864E1,1.733619881E1,1.875139999E1
3.896190834E0,4.124819946E1,1.711660004E1,1.844639969E1
3.906190834E0,4.140679932E1,1.689699936E1,1.804380035E1
3.916190834E0,4.152880096E1,1.673839951E1,1.760459900E1
3.926190834E0,4.169960022E1,1.667740059E1,1.717759895E1
3.936190834E0,4.184600067E1,1.666519928E1,1.672620010E1
3.946190834E0,4.188259888E1,1.668959999E1,1.637240028E1
3.956190834E0,4.193140030E1,1.688479996E1,1.583559990E1
3.966190834E0,4.199239731E1,1.707999992E1,1.535979939E1
3.976190834E0,4.195579910E1,1.729960060E1,1.478639984E1
3.986190834E0,4.187039948E1,1.756799889E1,1.431059933E1
3.996190834E0,4.172399902E1,1.788520050E1,1.383479977E1
4.006190834E0,4.155319977E1,1.822679901E1,1.343219948E1
4.016190834E0,4.134579849E1,1.864159966E1,1.316379929E1
4.026190834E0,4.110179901E1,1.912960052E1,1.291979980E1
4.036190834E0,4.076020050E1,1.961759949E1,1.255379963E1
4.046190834E0,4.043079758E1,2.011779976E1,1.233419991E1
4.056190834E0,4.013800049E1,2.066679955E1,1.202919960E1
4.066190834E0,3.983300018E1,2.126459885E1,1.169979954E1
4.076190834E0,3.954019928E1,2.178919983E1,1.132159996E1
4.086190834E0,3.927180099E1,2.230159950E1,1.071159935E1
4.096190834E0,3.894239807E1,2.272859955E1,9.942999840E0
4.106190834E0,3.868619919E1,2.315559959E1,9.125599861E0
4.116190834E0,3.847879791E1,2.341180038E1,8.405799866E0
4.126190834E0,3.828359985E1,2.370459938E1,7.612799644E0
4.136190834E0,3.805179977E1,2.398519897E1,7.014999866E0
4.146190834E0,3.789319992E1,2.422920036E1,6.539199829E0
4.156190834E0,3.764920044E1,2.443659973E1,6.185400009E0
4.166190834E0,3.740520096E1,2.464399910E1,5.843800068E0
4.176190834E0,3.720999908E1,2.477820015E1,5.489999771E0
4.186190834E0,3.703919983E1,2.485140038E1,4.989799976E0
4.196190834E0,3.697819901E1,2.485140038E1,4.648200035E0
4.206190834E0,3.692939758E1,2.482699966E1,4.196799755E0
4.216190834E0,3.688059998E1,2.465620041E1,3.733199835E0
4.226190834E0,3.681959915E1,2.448539925E1,3.147599936E0
4.236190834E0,3.691719818E1,2.430239868E1,2.598599911E0
4.246190834E0,3.697819901E1,2.408279991E1,2.317999840E0
4.256190834E0,3.711240005E1,2.388759995E1,2.037400007E0
4.266190834E0,3.716119766E1,2.368019867E1,1.854399920E0
4.276190834E0,3.711240005E1,2.361919975E1,1.598199964E0
4.286190834E0,3.699039841E1,2.361919975E1,1.427399993E0
4.296190834E0,3.690499878E1,2.368019867E1,1.024799943E0
4.306190834E0,3.683179855E1,2.378999901E1,5.489999652E-1
4.316190834E0,3.673419952E1,2.396080017E1,-4.879999906E-2
4.326190834E0,3.658779907E1,2.410719872E1,-9.027999640E-1
4.336190834E0,3.642919922E1,2.430239868E1,-1.805599928E0
4.346190834E0,3.627059937E1,2.461960030E1,-2.781599998E0
4.356190834E0,3.607539749E1,2.480259895E1,-3.733199835E0
4.366190834E0,3.588019943E1,2.493680000E1,-4.660399914E0
4.376190834E0,3.566059875E1,2.511979866E1,-5.416800022E0
4.386190834E0,3.539220047E1,2.524180031E1,-6.343999863E0
4.396190834E0,3.512379837E1,2.527840042E1,-7.332200050E0
4.406190834E0,3.484320068E1,2.533939934E1,-8.173999786E0
4.416190834E0,3.452600098E1,2.538819885E1,-8.942600250E0
4.426190834E0,3.422100067E1,2.533939934E1,-9.760000229E0
4.436190834E0,3.397700119E1,2.530279922E1,-1.060179996E1
4.446190834E0,3.375740051E1,2.522959900E1,-1.161439991E1
4.456190834E0,3.358660126E1,2.515639877E1,-1.267579937E1
4.466190834E0,3.337919998E1,2.502219963E1,-1.355420017E1
4.476190834E0,3.304980087E1,2.486359978E1,-1.427400017E1
4.486190834E0,3.281800079E1,2.474160004E1,-1.499380016E1
4.496190834E0,3.254959869E1,2.459519958E1,-1.564039993E1
4.506190834E0,3.230559921E1,2.448539925E1,-1.616499901E1
4.516190834E0,3.208599854E1,2.437559891E1,-1.662859917E1
4.526190834E0,3.184199905E1,2.432679939E1,-1.695800018E1
4.536190834E0,3.154920006E1,2.425359917E1,-1.722640038E1
4.546190834E0,3.129299927E1,2.415600014E1,-1.748259926E1
4.556190834E0,3.107339859E1,2.409499931E1,-1.786079979E1
4.566190834E0,3.084159851E1,2.405839920E1,-1.826339912E1
4.576190834E0,3.060980034E1,2.397299957E1,-1.887339973E1
4.586190834E0,3.042679977E1,2.387539864E1,-1.933699989E1
4.596190834E0,3.012179947E1,2.366799927E1,-1.992259979E1
4.606190834E0,2.987779999E1,2.350939941E1,-2.049600029E1
4.616190834E0,2.968260002E1,2.333860016E1,-2.095960045E1
4.626190834E0,2.957279968E1,2.325319862E1,-2.137439919E1
4.636190834E0,2.951179886E1,2.307019997E1,-2.176479912E1
4.646190834E0,2.948740005E1,2.281399918E1,-2.213080025E1
4.656190834E0,2.949959946E1,2.253339958E1,-2.232600021E1
4.666190834E0,2.943859863E1,2.225279999E1,-2.243579865E1
4.676190834E0,2.951179886E1,2.202099991E1,-2.253339958E1
4.686190834E0,2.962159920E1,2.166720009E1,-2.258219910E1
4.696190834E0,2.969479942E1,2.137439919E1,-2.260659981E1
4.706190834E0,2.969479942E1,2.103279877E1,-2.254559898E1
4.716190834E0,2.975580025E1,2.081320000E1,-2.246019936E1
4.726190834E0,2.970699883E1,2.064239883E1,-2.226499939E1
4.736190834E0,2.963379860E1,2.058139992E1,-2.197220039E1
4.746190834E0,2.959719849E1,2.058139992E1,-2.172819901E1
4.756190834E0,2.949959946E1,2.071559906E1,-2.143540001E1
4.766190834E0,2.926779938E1,2.099619865E1,-2.102059937E1
4.776190834E0,2.902379990E1,2.132559967E1,-2.053260040E1
4.786190834E0,2.882859993E1,2.170380020E1,-2.015439987E1
4.796190834E0,2.849919891E1,2.211859894E1,-1.965419960E1
4.806190834E0,2.821859932E1,2.256999969E1,-1.915399933E1
4.816190834E0,2.798679924E1,2.299699974E1,-1.859280014E1
4.826190834E0,2.773060036E1,2.335079956E1,-1.799499893E1
4.836190834E0,2.749880028E1,2.370459938E1,-1.723859978E1
4.846190834E0,2.737679863E1,2.403400040E1,-1.645779991E1
4.856190834E0,2.732799911E1,2.422920036E1,-1.568919945E1
4.866190834E0,2.727919960E1,2.443659973E1,-1.466440010E1
4.876190834E0,2.725479889E1,2.458300018E1,-1.357859993E1
4.886190834E0,2.721819878E1,2.471719933E1,-1.252939987E1
4.896190834E0,2.707180023E1,2.490019989E1,-1.143139935E1
4.906190834E0,2.694979858E1,2.514419937E1,-1.046759987E1
4.916190834E0,2.674239922E1,2.540040016E1,-9.589200020E0
4.926190834E0,2.647399902E1,2.563220024E1,-8.930399895E0
4.936190834E0,2.592499924E1,2.605920029E1,-8.161799431E0
4.946190834E0,2.530279922E1,2.647399902E1,-7.710399628E0
4.956190834E0,2.461960030E1,2.694979858E1,-7.307799816E0
4.966190834E0,2.396080017E1,2.746220016E1,-6.966199875E0
4.976190834E0,2.327759933E1,2.801119995E1,-6.783199787E0
4.986190834E0,2.241139984E1,2.852359962E1,-6.587999821E0
4.996190834E0,2.156959915E1,2.899939919E1,-6.331799984E0
5.006190834E0,2.066679955E1,2.945079994E1,-6.039000034E0
5.016190834E0,1.988599968E1,2.978019905E1,-5.880399704E0
5.026190834E0,1.908079910E1,3.023159981E1,-5.624199867E0
5.036190834E0,1.833659935E1,3.064639854E1,-5.404599667E0
5.046190834E0,1.753139877E1,3.101239967E1,-5.233799934E0
5.056190834E0,1.667740059E1,3.130519867E1,-5.050799847E0
5.066190834E0,1.592099953E1,3.158580017E1,-4.880000114E0
5.076190834E0,1.518900013E1,3.195179939E1,-4.806799889E0
5.086190834E0,1.450579929E1,3.225679779E1,-4.721399784E0
5.096190834E0,1.385919952E1,3.261059952E1,-4.611599922E0
5.106190834E0,1.324919987E1,3.278139877E1,-4.526199818E0
5.116190834E0,1.262699986E1,3.298880005E1,-4.489599705E0
5.126190834E0,1.196819973E1,3.318399811E1,-4.501800060E0
5.136190834E0,1.139480019E1,3.335480118E1,-4.465199947E0
5.146190834E0,1.085799980E1,3.353779984E1,-4.440799713E0
5.156190834E0,1.027239990E1,3.364759827E1,-4.379799843E0
5.166190834E0,9.662400246E0,3.376959991E1,-4.428599834E0
5.176190834E0,9.137800217E0,3.384280014E1,-4.501800060E0
5.186190834E0,8.613200188E0,3.401359940E1,-4.648200035E0
5.196190834E0,8.015399933E0,3.407460022E1,-4.745800018E0
5.206190834E0,7.441999912E0,3.412339783E1,-4.916599751E0
5.216190834E0,6.966199875E0,3.420879745E1,-5.087399960E0
5.226190834E0,6.526999950E0,3.419659805E1,-5.197199821E0
5.236190834E0,5.965799809E0,3.414780045E1,-5.368000031E0
5.246190834E0,5.441199780E0,3.422100067E1,-5.343599796E0
5.256190834E0,4.916599751E0,3.424539948E1,-5.355799675E0
5.266190834E0,4.318799973E0,3.419659805E1,-5.319200039E0
5.276190834E0,3.757599831E0,3.422100067E1,-5.148399830E0
5.286190834E0,3.257400036E0,3.430640030E1,-4.916599751E0
5.296190834E0,2.586400032E0,3.431859970E1,-4.709199905E0
5.306190834E0,1.854399920E0,3.441619873E1,-4.562799931E0
5.316190834E0,1.195600033E0,3.451379776E1,-4.294399738E0
5.326190834E0,4.879999757E-1,3.451379776E1,-4.172399998E0
5.336190834E0,-2.683999836E-1,3.450159836E1,-4.086999893E0
5.346190834E0,-9.393999577E-1,3.453820038E1,-4.062600136E0
5.356190834E0,-1.500599980E0,3.457479858E1,-4.221199989E0
5.366190834E0,-2.049599886E0,3.450159836E1,-4.330999851E0
5.376190834E0,-2.391200066E0,3.447719955E1,-4.428599834E0
5.386190834E0,-2.635200024E0,3.437960052E1,-4.526199818E0
5.396190834E0,-2.757200003E0,3.428199768E1,-4.721399784E0
5.406190834E0,-2.720599890E0,3.423320007E1,-4.989799976E0
