"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.047271917E0,-1.593436432E0,-1.245694565E1,4.034560089E0
1.057217917E0,-1.579814758E0,-1.076112213E1,4.470004578E0
1.067162917E0,-1.211430817E0,-9.303004303E0,4.722828827E0
1.077107917E0,-2.514770508E-1,-8.253386993E0,4.752018127E0
1.087052917E0,9.681866455E-1,-7.808512115E0,4.586163025E0
1.096998917E0,2.217788086E0,-8.121062164E0,4.530778198E0
1.106943917E0,3.224295044E0,-9.465266876E0,4.774471436E0
1.116888917E0,3.969894562E0,-1.122889938E1,5.031337280E0
1.126833917E0,4.820575562E0,-1.273476791E1,5.043462067E0
1.136779917E0,5.809119873E0,-1.383737503E1,5.053940277E0
1.146724917E0,6.733447723E0,-1.427880707E1,5.013374634E0
1.156669917E0,6.825206909E0,-1.408406204E1,4.532424774E0
1.166614917E0,6.083798676E0,-1.298370026E1,3.374283142E0
1.176560917E0,5.031486969E0,-1.144699585E1,1.924398193E0
1.186505917E0,3.823498993E0,-1.026520340E1,4.483177185E-1
1.196450917E0,2.461481323E0,-9.451645203E0,-6.953041077E-1
1.206396917E0,1.304686890E0,-8.752149811E0,-1.481319580E0
1.216341917E0,-4.191284180E-3,-8.529712372E0,-2.169887695E0
1.226286917E0,-1.455722809E0,-8.444090424E0,-2.468367004E0
1.236231917E0,-2.888094177E0,-8.226742401E0,-2.729274445E0
1.246177917E0,-3.639531555E0,-7.745044098E0,-2.829266510E0
1.256122917E0,-3.947740631E0,-7.084916840E0,-2.490520935E0
1.266067917E0,-3.733685760E0,-6.359375610E0,-1.677711182E0
1.276012917E0,-3.055146790E0,-5.633834381E0,-6.496490479E-1
1.285958917E0,-2.193987579E0,-5.012626190E0,2.757266235E-1
1.295903917E0,-1.526226196E0,-4.456532593E0,9.123527527E-1
1.305848917E0,-1.047521667E0,-3.986510010E0,1.316362610E0
1.315793917E0,-7.604187012E-1,-3.774999847E0,1.518292694E0
1.325739917E0,-6.297404480E-1,-3.659440155E0,1.609602814E0
1.335684917E0,-5.391787720E-1,-3.531007233E0,1.532064056E0
1.345629917E0,-3.743714905E-1,-3.483106842E0,1.229243774E0
1.355574917E0,-9.774673462E-2,-3.540138245E0,6.277944946E-1
1.365520917E0,3.267704773E-1,-3.733985138E0,-4.457730103E-1
1.375465917E0,6.659651184E-1,-4.461322632E0,-1.905537415E0
1.385410917E0,7.557783508E-1,-5.552852783E0,-3.305875397E0
1.395355917E0,2.495310974E-1,-6.908583527E0,-4.401596832E0
1.405301917E0,-3.939807129E-1,-8.652756500E0,-5.100044403E0
1.415246917E0,-6.728507996E-1,-1.068837341E1,-5.327720947E0
1.425191917E0,-5.415737915E-1,-1.252924530E1,-5.127587128E0
1.435138083E0,6.466552734E-2,-1.366867584E1,-4.270170135E0
1.445083083E0,1.392554169E0,-1.420022049E1,-2.650238800E0
1.455028083E0,3.042872314E0,-1.472562790E1,-1.731898499E-1
1.464973083E0,4.488116913E0,-1.535447021E1,2.533481598E0
1.474919083E0,4.377946014E0,-1.529025375E1,2.663411407E0
1.484864083E0,2.694247284E0,-1.416399582E1,-8.442443848E-2
1.494809083E0,1.345851288E0,-1.326301941E1,-3.077600098E0
1.504754083E0,5.815406799E-1,-1.251727020E1,-5.550607452E0
1.514700083E0,3.451821899E-1,-1.195923065E1,-7.070546722E0
1.524645083E0,2.896476746E-1,-1.185489761E1,-7.180567932E0
1.534590083E0,5.474116516E-1,-1.249376907E1,-5.625152435E0
1.544535083E0,1.049168243E0,-1.327050385E1,-3.160228271E0
1.554481083E0,2.173180847E0,-1.374486740E1,-2.393522644E-1
1.564426083E0,3.631448364E0,-1.380174911E1,3.617677002E0
1.574371083E0,5.030289459E0,-1.363215179E1,6.632557526E0
1.584316083E0,5.380710754E0,-1.301872742E1,6.919061737E0
1.594262083E0,3.817810822E0,-1.231788483E1,4.779261475E0
1.604207083E0,2.361339569E0,-1.092877350E1,2.633323975E0
1.614152083E0,1.318907318E0,-9.076674957E0,1.588646393E0
1.624098083E0,9.618997192E-1,-7.552095337E0,1.649869080E0
1.634043083E0,1.251547394E0,-6.970404968E0,2.756966858E0
1.643988083E0,1.498833160E0,-7.062014465E0,4.512516174E0
1.653933083E0,1.185983734E0,-7.555238800E0,5.887407074E0
1.663879083E0,1.188528442E-1,-8.455017700E0,6.331832886E0
1.673824083E0,-1.600621490E0,-9.733209686E0,6.248306580E0
1.683769083E0,-2.520907745E0,-1.093880264E1,5.745651855E0
1.693714083E0,-2.160606995E0,-1.146855103E1,4.863985291E0
1.703660083E0,-8.967851257E-1,-1.120779327E1,4.017944641E0
1.713605083E0,9.101074219E-2,-1.046354095E1,3.093766479E0
1.723550083E0,3.570075989E-1,-9.625433807E0,2.099983063E0
