"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.393732088E1,-8.110107422E0,4.337326431E1,1.566312790E1
5.394726688E1,-8.654212952E0,4.343364716E1,1.541287231E1
5.395721188E1,-9.472473145E0,4.356670761E1,1.496725082E1
5.396715688E1,-1.006718445E1,4.354916763E1,1.475321579E1
5.397710188E1,-1.055929565E1,4.353535461E1,1.436538696E1
5.398704688E1,-1.077227783E1,4.355527496E1,1.432556915E1
5.399699187E1,-1.083484650E1,4.356089020E1,1.461564636E1
5.400693687E1,-1.088571930E1,4.332704163E1,1.527064133E1
5.401688288E1,-1.078634644E1,4.307178116E1,1.565011978E1
5.402682788E1,-1.081556702E1,4.292181396E1,1.603287888E1
5.403677287E1,-1.057392120E1,4.277758026E1,1.630323029E1
5.404671787E1,-1.043896484E1,4.275902939E1,1.675436401E1
5.405666287E1,-1.036151886E1,4.269807816E1,1.710449600E1
5.406660787E1,-1.010795593E1,4.284789658E1,1.692609406E1
5.407655387E1,-1.008460999E1,4.294116592E1,1.661522675E1
5.408649887E1,-1.011177063E1,4.305608749E1,1.633331680E1
5.409644387E1,-1.003569794E1,4.328733444E1,1.587261963E1
5.410638887E1,-1.007760620E1,4.362579727E1,1.550740433E1
5.411633387E1,-1.015519714E1,4.372246552E1,1.522140503E1
5.412627887E1,-1.030722046E1,4.355118942E1,1.506422806E1
5.413622388E1,-1.043149567E1,4.352135849E1,1.512391663E1
5.414616987E1,-1.046479797E1,4.340658951E1,1.538261795E1
5.415611487E1,-1.065355682E1,4.335164642E1,1.547653961E1
5.416605987E1,-1.085565186E1,4.341832733E1,1.552445984E1
5.417600488E1,-1.076907349E1,4.357998657E1,1.540340424E1
5.418594988E1,-1.071228027E1,4.386605072E1,1.502866745E1
5.419589488E1,-1.071228027E1,4.386605072E1,1.502866745E1
5.420584087E1,-1.058107758E1,4.423649216E1,1.438789368E1
5.421578588E1,-1.042631531E1,4.446585083E1,1.351231384E1
5.422573088E1,-1.033722687E1,4.476245880E1,1.266739655E1
5.423567588E1,-1.020403290E1,4.512593460E1,1.185513306E1
5.424562088E1,-1.003180695E1,4.539790344E1,1.114538956E1
5.425556588E1,-9.930686951E0,4.568101120E1,1.078890610E1
5.426551088E1,-9.598564148E0,4.576475143E1,1.037648392E1
5.427545688E1,-9.515609741E0,4.585652542E1,9.939788818E0
5.428540188E1,-9.236343384E0,4.604197311E1,9.774677277E0
5.429534688E1,-8.776161194E0,4.610510254E1,9.681617737E0
5.430529188E1,-8.139160156E0,4.620121765E1,9.850650787E0
5.431523688E1,-7.446670532E0,4.622884750E1,9.939823151E0
5.432518187E1,-6.798721313E0,4.630429077E1,9.927009583E0
5.433512788E1,-6.330314636E0,4.630553436E1,9.915786743E0
5.434507288E1,-5.976219177E0,4.639114380E1,9.882530212E0
5.435501788E1,-5.650352478E0,4.650355530E1,9.654121399E0
5.436496287E1,-5.523521423E0,4.666610718E1,9.496009827E0
5.437490787E1,-5.405014038E0,4.677324677E1,9.118160248E0
5.438485287E1,-5.383888245E0,4.701969147E1,8.488849640E0
5.439479787E1,-5.325546265E0,4.722393417E1,8.096267700E0
5.440474387E1,-5.119201660E0,4.725923920E1,7.740123749E0
5.441468887E1,-5.080863953E0,4.750380707E1,6.907993317E0
5.442463387E1,-5.089218140E0,4.759864044E1,6.274024963E0
5.443457887E1,-5.202491760E0,4.784608841E1,5.746887207E0
5.444452387E1,-5.171661377E0,4.803260803E1,5.243640900E0
5.445446887E1,-5.118049622E0,4.805067444E1,4.928180695E0
5.446441487E1,-4.919265747E0,4.814972687E1,4.719161987E0
5.447435987E1,-4.687248230E0,4.826356506E1,4.584472656E0
5.448430487E1,-4.399314880E0,4.831558990E1,4.630104065E0
5.449424987E1,-4.265914917E0,4.820464706E1,4.798206329E0
5.450419488E1,-4.016410828E0,4.816110611E1,4.885841370E0
5.451413988E1,-3.685501099E0,4.813164139E1,5.057361603E0
5.452408488E1,-3.569969177E0,4.822795105E1,5.081737518E0
5.453403087E1,-3.368202209E0,4.814108276E1,5.243190765E0
5.454397588E1,-3.335220337E0,4.815254593E1,5.585369110E0
5.455392088E1,-3.248405457E0,4.811605072E1,6.128009796E0
5.456386588E1,-2.972915649E0,4.783518600E1,6.547119141E0
5.457381088E1,-2.853088379E0,4.770800781E1,7.233291626E0
5.458375588E1,-2.629791260E0,4.752362442E1,8.028919220E0
5.459370188E1,-2.174995422E0,4.743198395E1,9.135910034E0
5.460364738E1,-1.752937317E0,4.731824493E1,1.010489273E1
5.461359238E1,-1.137771606E0,4.705308914E1,1.091727066E1
5.462353738E1,-8.198776245E-1,4.688620377E1,1.163314056E1
