"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.349358917E0,-4.290879073E-1,6.304170293E0,2.051614895E0
1.359303917E0,-2.854809121E-1,6.284491489E0,1.583864394E0
1.369249917E0,-9.620661456E-3,6.199246686E0,7.177444788E-1
1.379194917E0,3.226052863E-1,5.770089709E0,-6.596407700E-1
1.389139917E0,4.611159579E-1,4.815213080E0,-2.197808150E0
1.399084917E0,1.892251810E-1,3.606795918E0,-3.534872242E0
1.409030917E0,-5.653892450E-1,2.067208834E0,-4.491081451E0
1.418975917E0,-1.107951399E0,1.278066856E-1,-5.009924777E0
1.428920917E0,-1.240470428E0,-1.866433575E0,-5.031329094E0
1.438867083E0,-9.166973070E-1,-3.432909080E0,-4.548753709E0
1.448812083E0,5.394202620E-3,-4.165678638E0,-3.303210236E0
1.458757083E0,1.581817137E0,-4.679085222E0,-1.284165502E0
1.468702083E0,3.166044497E0,-5.238218787E0,1.494222046E0
1.478648083E0,4.027293169E0,-5.717058386E0,3.242019124E0
1.488593083E0,2.823256449E0,-4.997348585E0,1.595011672E0
1.498538083E0,1.188354634E0,-3.875667266E0,-1.517516184E0
1.508483083E0,9.858529843E-2,-3.112886290E0,-4.227814075E0
1.518429083E0,-3.541242637E-1,-2.416193469E0,-6.235338625E0
1.528374083E0,-4.784291250E-1,-2.053516994E0,-7.006355989E0
1.538319083E0,-3.554539937E-1,-2.323813308E0,-6.191980351E0
1.548264083E0,1.489746295E-2,-3.147237512E0,-3.949228163E0
1.558210083E0,8.075816117E-1,-3.781853954E0,-1.257441387E0
1.568155083E0,2.150631645E0,-4.050309564E0,2.174802865E0
1.578100083E0,3.566167417E0,-3.993360608E0,5.906563722E0
1.588045083E0,4.631751426E0,-3.591827631E0,7.598859029E0
1.597991083E0,3.774867700E0,-2.945457702E0,6.380605681E0
1.607936083E0,2.033625936E0,-1.971286431E0,3.881215689E0
1.617881083E0,7.497316720E-1,-2.596280694E-1,2.254118006E0
1.627827083E0,-4.026334226E-2,1.525108209E0,1.751273832E0
1.637772083E0,-1.517593659E-2,2.602706199E0,2.377625234E0
1.647717083E0,3.461652531E-1,2.792977520E0,3.892899595E0
1.657662083E0,3.684865603E-1,2.489494749E0,5.567590106E0
1.667608083E0,-2.717853809E-1,1.797660964E0,6.395607297E0
1.677553083E0,-1.696654406E0,7.027166229E-1,6.402676581E0
1.687498083E0,-3.094897039E0,-6.153042573E-1,6.011292032E0
1.697443083E0,-3.238936180E0,-1.531864082E0,5.107265130E0
1.707389083E0,-2.203151482E0,-1.646016934E0,4.079314093E0
1.717334083E0,-8.118234743E-1,-1.071758376E0,3.114962052E0
1.727279083E0,-1.275815312E-1,-2.626744688E-1,2.010887868E0
1.737224083E0,-4.100436721E-2,5.355856580E-1,1.109270019E0
1.747170083E0,-2.363862825E-1,1.231496122E0,5.979971568E-1
1.757115083E0,-2.172599122E-1,1.781342554E0,2.112055955E-1
1.767060083E0,1.768188512E-1,2.179341474E0,-4.851504993E-1
1.777005083E0,7.474976702E-1,2.796230911E0,-1.533553342E0
1.786951083E0,1.168030882E0,3.537212298E0,-2.747240015E0
1.796896083E0,1.395632435E0,4.061582996E0,-4.182421555E0
1.806841083E0,1.306250874E0,4.642562343E0,-5.329475697E0
1.816787083E0,1.058081666E0,5.003522075E0,-5.442446242E0
1.826732083E0,9.190799743E-1,5.002416952E0,-4.485666345E0
1.836677083E0,9.953892083E-1,4.452310903E0,-2.648385233E0
1.846622083E0,8.306667846E-1,3.704135102E0,-7.594287676E-1
1.856568083E0,7.010639074E-1,3.012342832E0,5.805863412E-1
