"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.333940083E0,-9.477106929E-1,4.478908479E-1,2.403031290E-1
2.343885083E0,-7.751256227E-1,3.324136734E-1,8.297098428E-2
2.353831083E0,-5.731477141E-1,2.417346388E-1,-1.276456416E-1
2.363776083E0,-3.369903266E-1,2.380459011E-1,-3.544934690E-1
2.373721083E0,-8.701723814E-2,2.665832639E-1,-5.309321880E-1
2.383667083E0,1.805286556E-1,3.120210767E-1,-6.637253165E-1
2.393612083E0,4.354371130E-1,4.127990901E-1,-7.767131329E-1
2.403557083E0,6.134524345E-1,5.995502472E-1,-8.407144547E-1
2.413502083E0,6.882806420E-1,9.194619656E-1,-8.771187663E-1
2.423448083E0,6.645729542E-1,1.275921226E0,-8.961846232E-1
2.433393583E0,5.696216822E-1,1.519147277E0,-8.576529622E-1
2.443338583E0,4.293082952E-1,1.565197706E0,-7.542461753E-1
2.453283583E0,2.658360302E-1,1.499501228E0,-6.312904358E-1
2.463229583E0,6.543440372E-2,1.455311179E0,-5.350156426E-1
2.473174583E0,-1.513887197E-1,1.401230097E0,-4.388355315E-1
2.483119583E0,-2.304899842E-1,1.328043699E0,-3.539775014E-1
2.493064583E0,-6.487466395E-2,1.226376772E0,-2.610288858E-1
2.503010583E0,2.997384965E-1,1.047070265E0,-2.753053606E-1
2.512955583E0,5.447101593E-1,7.940078974E-1,-3.662491143E-1
2.522900583E0,4.534566998E-1,5.048831701E-1,-3.784708977E-1
2.532845583E0,1.251829267E-1,1.322693825E-1,-2.644681633E-1
2.542791583E0,-2.777735889E-1,-2.176358700E-1,-1.171032488E-1
2.552736583E0,-6.362934113E-1,-3.543037176E-1,4.944623448E-3
2.562681583E0,-9.181657434E-1,-1.616676003E-1,1.166860908E-1
2.572627583E0,-1.086979151E0,2.490871847E-1,2.472877800E-1
2.582572583E0,-1.104355931E0,4.632107317E-1,3.336876631E-1
2.592517583E0,-1.021103501E0,3.837633133E-1,3.250579536E-1
2.602462583E0,-7.500609159E-1,-1.103596091E-1,2.187364846E-1
2.612408583E0,-1.969916373E-1,-9.685049653E-1,8.482848294E-3
2.622353583E0,5.084667206E-1,-1.965604663E0,-4.031997621E-1
2.632298583E0,1.037696719E0,-2.645313025E0,-7.358754873E-1
2.642243583E0,1.133524656E0,-2.490939379E0,-7.758533359E-1
2.652189583E0,8.844813704E-1,-1.795703650E0,-5.751447082E-1
2.662134583E0,4.167193770E-1,-1.004558086E0,-2.904430628E-1
2.672079583E0,-1.012321636E-1,-4.411021173E-1,-5.515226349E-2
