"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.842004300E-1,2.362706900E0,2.661335945E0,9.823689461E-1
6.892513150E-1,2.522216797E0,2.388576031E0,1.065246582E0
6.943021490E-1,2.659388781E0,2.147318840E0,1.083504915E0
6.993530340E-1,2.802049875E0,1.880137920E0,1.022050858E0
7.044039190E-1,2.967431068E0,1.710601807E0,9.163336754E-1
7.094915240E-1,3.162160873E0,1.491861820E0,8.377661705E-1
7.145424090E-1,3.328237534E0,1.366908073E0,7.308745384E-1
7.195932420E-1,3.505614042E0,1.271974564E0,6.295030117E-1
7.246441280E-1,3.614016533E0,1.169631958E0,4.787852764E-1
7.296950130E-1,3.666502476E0,1.065512180E0,3.883402348E-1
7.347458470E-1,3.621234894E0,9.618406296E-1,4.428379536E-1
7.397545440E-1,3.521534920E0,9.246954918E-1,4.688875675E-1
7.448054300E-1,3.330649853E0,9.886970520E-1,5.599036217E-1
7.498563150E-1,3.023679972E0,1.036056995E0,7.140433788E-1
7.549071490E-1,2.641887903E0,1.109650612E0,8.062438965E-1
7.599580340E-1,2.213614941E0,1.305471420E0,8.382568359E-1
7.650089190E-1,1.696902871E0,1.527543545E0,8.269987106E-1
7.700570440E-1,1.319172621E0,1.791277885E0,9.409112930E-1
7.751079300E-1,8.947272301E-1,2.026389122E0,1.017940164E0
7.801588150E-1,4.579876661E-1,2.201160908E0,9.959005117E-1
7.852096490E-1,1.122182608E-1,2.350618362E0,8.571958542E-1
7.902605340E-1,-1.259517670E-1,2.496772766E0,1.087574124E0
7.953114190E-1,-4.737691879E-1,2.631811142E0,1.489790916E0
8.003595440E-1,-8.387296200E-1,2.597678185E0,1.437776685E0
8.054104300E-1,-1.181785345E0,2.428795815E0,1.192795992E0
8.104613150E-1,-1.357316136E0,2.191291809E0,8.519318104E-1
8.155121490E-1,-1.307890892E0,1.863903522E0,5.240552425E-1
8.205630340E-1,-1.034209967E0,1.499372482E0,9.119129181E-2
8.256139190E-1,-7.285461426E-1,1.088209152E0,-3.745088577E-1
8.306620440E-1,-5.371623039E-1,7.256793976E-1,-8.320488930E-1
8.357129300E-1,-3.944525123E-1,3.518676758E-1,-1.298256636E0
8.407638150E-1,-5.348086953E-1,1.487302780E-1,-1.699407339E0
8.458146490E-1,-8.043000698E-1,3.888702393E-2,-1.999247313E0
