"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.623187513E0,-3.010960007E1,2.614459991E1,8.479000092E0
1.633187513E0,-2.958499908E1,2.651059914E1,8.137399673E0
1.643187513E0,-2.902379990E1,2.679119873E1,7.698199749E0
1.653187513E0,-2.851140022E1,2.708399963E1,7.466399670E0
1.663187513E0,-2.808440018E1,2.738899994E1,7.344399929E0
1.673187513E0,-2.762080002E1,2.776719856E1,7.368799686E0
1.683187513E0,-2.713279915E1,2.816979980E1,7.381000042E0
1.693187513E0,-2.679119873E1,2.857239914E1,7.759199619E0
1.703187513E0,-2.644960022E1,2.908479881E1,8.344799995E0
1.713187513E0,-2.615679932E1,2.953619957E1,9.040200233E0
1.723187513E0,-2.665699959E1,3.114659882E1,8.710800171E0
1.733187513E0,-2.653499985E1,3.162240028E1,9.747799873E0
1.743187513E0,-2.646179962E1,3.198839951E1,1.101659966E1
1.753187513E0,-2.635199928E1,3.236660004E1,1.239519978E1
1.763187513E0,-2.621780014E1,3.265940094E1,1.398119926E1
1.773187513E0,-2.603479958E1,3.284239960E1,1.560379982E1
1.783187513E0,-2.580299950E1,3.291559982E1,1.726300049E1
1.793187513E0,-2.795019913E1,3.636819839E1,1.582339954E1
1.803187513E0,-2.775499916E1,3.633160019E1,1.739719963E1
1.813187513E0,-2.748659897E1,3.622179794E1,1.893440056E1
1.823187513E0,-2.710840034E1,3.607539749E1,2.021539879E1
1.833187513E0,-2.681559944E1,3.589239883E1,2.132559967E1
1.843187513E0,-2.664480019E1,3.577040100E1,2.237479973E1
1.853187513E0,-2.647399902E1,3.564839935E1,2.318000031E1
1.863187513E0,-2.640079880E1,3.553860092E1,2.380220032E1
1.873187513E0,-2.625440025E1,3.548979950E1,2.421699905E1
1.883187513E0,-2.616899872E1,3.548979950E1,2.470499992E1
1.893187513E0,-2.613239861E1,3.550199890E1,2.488799858E1
1.903187513E0,-2.621780014E1,3.561180115E1,2.499779892E1
1.913187513E0,-2.630319977E1,3.578260040E1,2.499779892E1
1.923187513E0,-2.635199928E1,3.591679764E1,2.474160004E1
1.933187513E0,-2.644960022E1,3.618519974E1,2.446100044E1
1.943187513E0,-2.655939865E1,3.650239944E1,2.409499931E1
1.953187513E0,-2.674239922E1,3.688059998E1,2.360700035E1
1.963187513E0,-2.705959892E1,3.728319931E1,2.289939880E1
1.973187513E0,-2.726700020E1,3.771019745E1,2.219179916E1
1.983187513E0,-2.755979919E1,3.810059738E1,2.133779907E1
1.993187513E0,-2.790139961E1,3.855199814E1,2.042280006E1
2.003187513E0,-2.827960014E1,3.899119949E1,1.944680023E1
2.013187513E0,-2.865779877E1,3.934499741E1,1.851959991E1
2.023187513E0,-2.903599930E1,3.964999771E1,1.762899971E1
2.033187513E0,-2.935319901E1,3.988179779E1,1.675059891E1
2.043187513E0,-2.960939980E1,4.000379944E1,1.568919945E1
2.053187513E0,-3.002419853E1,4.013800049E1,1.484739971E1
2.063187513E0,-3.037800026E1,4.016239929E1,1.399339962E1
2.073187513E0,-3.074399948E1,4.007699966E1,1.304179955E1
2.083187513E0,-3.113439941E1,3.996719742E1,1.204139996E1
2.093187513E0,-3.174440002E1,4.029660034E1,1.073600006E1
2.103187513E0,-3.214699936E1,4.007699966E1,9.601399422E0
2.113187513E0,-3.263499832E1,3.985739899E1,8.527799606E0
2.123187513E0,-3.312300110E1,3.962559891E1,7.502999783E0
2.133187513E0,-3.354999924E1,3.934499741E1,6.392799854E0
2.143187513E0,-3.392819977E1,3.902779770E1,5.306999683E0
2.153187513E0,-3.446500015E1,3.913759995E1,4.111400127E0
2.163187513E0,-3.469680023E1,3.872279739E1,3.293999910E0
2.173187513E0,-3.490419769E1,3.825920105E1,2.488800049E0
2.183187513E0,-3.507500076E1,3.780780029E1,1.793399930E0
2.193187513E0,-3.514820099E1,3.736859894E1,1.134599924E0
2.203187513E0,-3.514820099E1,3.697819901E1,6.588000059E-1
2.213187513E0,-3.520919800E1,3.659999847E1,1.097999960E-1
2.223187513E0,-3.517259979E1,3.614859772E1,-2.317999899E-1
2.233187513E0,-3.509939957E1,3.579479980E1,-5.367999673E-1
2.243187513E0,-3.506279755E1,3.546540070E1,-7.075999975E-1
2.253187513E0,-3.495299911E1,3.512379837E1,-7.929999828E-1
2.263187513E0,-3.495299911E1,3.481879807E1,-8.783999681E-1
2.273187513E0,-3.491640091E1,3.447719955E1,-9.515999556E-1
2.283187513E0,-3.485540009E1,3.415999985E1,-1.012599945E0
2.293187513E0,-3.474559784E1,3.375740051E1,-1.012599945E0
2.303187513E0,-3.472119904E1,3.351340103E1,-9.759999514E-1
2.313187513E0,-3.478219986E1,3.312300110E1,-8.539999723E-1
2.323187513E0,-3.477000046E1,3.270819855E1,-6.588000059E-1
2.333187513E0,-3.480659866E1,3.239099884E1,-5.001999736E-1
2.343187513E0,-3.480659866E1,3.208599854E1,-3.172000051E-1
2.353187513E0,-3.477000046E1,3.179319954E1,-2.439999953E-2
2.363187513E0,-3.469680023E1,3.153699875E1,3.416000009E-1
2.373187513E0,-3.462360001E1,3.143939972E1,8.661999702E-1
2.383187513E0,-3.461140060E1,3.118319893E1,1.524999976E0
2.393187513E0,-3.405019760E1,3.259840012E1,2.805999994E0
2.403187513E0,-3.396479797E1,3.250080109E1,3.257400036E0
2.413187513E0,-3.392819977E1,3.241539764E1,3.611199856E0
2.423187513E0,-3.381839752E1,3.240319824E1,4.026000023E0
2.433187513E0,-3.379399872E1,3.234220123E1,4.294399738E0
2.443187513E0,-3.381839752E1,3.224459839E1,4.562799931E0
2.453187513E0,-3.389159775E1,3.211040115E1,4.745800018E0
2.463187513E0,-3.385499954E1,3.204940033E1,4.721399784E0
2.473187513E0,-3.386719894E1,3.204940033E1,4.794600010E0
2.483187513E0,-3.384280014E1,3.207379913E1,4.904399872E0
2.493187513E0,-3.379399872E1,3.204940033E1,5.099599838E0
