"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.627242320E-1,2.260957003E0,1.728207469E0,9.946613014E-2
6.652496490E-1,2.246043921E0,1.705837488E0,7.070484012E-2
6.677751170E-1,2.226869583E0,1.677076221E0,3.555215150E-2
6.703005340E-1,2.214086771E0,1.640858293E0,3.994623839E-4
6.728259510E-1,2.200238705E0,1.598382115E0,-4.540555924E-2
6.753514190E-1,2.189586401E0,1.551511884E0,-8.908011019E-2
6.778741280E-1,2.182129860E0,1.499315500E0,-1.295589656E-1
6.803995440E-1,2.175738335E0,1.437531948E0,-1.711030602E-1
6.829250130E-1,2.174673319E0,1.374683261E0,-2.157096863E-1
6.854504300E-1,2.173608065E0,1.310769200E0,-2.636451721E-1
6.879758470E-1,2.179999352E0,1.241529107E0,-3.126458824E-1
6.905013150E-1,2.186390877E0,1.170158505E0,-3.531247377E-1
6.930267320E-1,2.192782164E0,1.096657395E0,-3.967992961E-1
6.955521490E-1,2.204499722E0,1.022091031E0,-4.383433759E-1
6.980776170E-1,2.213021517E0,9.433969855E-1,-4.766917825E-1
7.006030340E-1,2.222608805E0,8.677654266E-1,-5.139749050E-1
7.031284510E-1,2.231130600E0,7.995905280E-1,-5.544537902E-1
7.056539190E-1,2.237521887E0,7.303503752E-1,-5.970631242E-1
7.082161070E-1,2.240717649E0,6.579145193E-1,-6.354115009E-1
7.107415240E-1,2.242848158E0,5.876091719E-1,-6.726946831E-1
7.132669400E-1,2.241782904E0,5.183690190E-1,-7.121082544E-1
7.157924090E-1,2.236456633E0,4.491288662E-1,-7.493914366E-1
7.183178260E-1,2.225804329E0,3.885437548E-1,-7.877398133E-1
7.208432420E-1,2.211956263E0,3.267602324E-1,-8.259550333E-1
7.233687110E-1,2.193847418E0,2.756290436E-1,-8.664339185E-1
7.258941280E-1,2.170412302E0,2.266283184E-1,-9.026518464E-1
7.284195440E-1,2.143781424E0,1.882799417E-1,-9.399349689E-1
7.309450130E-1,2.113955021E0,1.573881805E-1,-9.804138541E-1
7.334704300E-1,2.083063126E0,1.360835135E-1,-1.017696977E0
7.359958470E-1,2.052171469E0,1.201050207E-1,-1.052849650E0
7.384791280E-1,2.021279573E0,1.169093251E-1,-1.088002324E0
7.410045440E-1,1.990387917E0,1.307573467E-1,-1.125285506E0
7.435300130E-1,1.957365632E0,1.531272531E-1,-1.158307791E0
