"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.403246634E0,-3.542879868E1,-5.245999694E-1,-2.712059975E1
1.413246634E0,-3.594120026E1,2.073999941E-1,-2.631539917E1
1.423246634E0,-3.652679825E1,1.049199939E0,-2.549799919E1
1.433246634E0,-3.710020065E1,1.854399920E0,-2.459519958E1
1.443246634E0,-3.761259842E1,2.696199894E0,-2.368019867E1
1.453246634E0,-3.806399918E1,3.672199965E0,-2.277739906E1
1.463246634E0,-3.846659851E1,4.697000027E0,-2.191119957E1
1.473246634E0,-3.878379822E1,5.697400093E0,-2.110599899E1
1.483246634E0,-3.908879852E1,6.758800030E0,-2.017879868E1
1.493246634E0,-3.935720062E1,7.771399975E0,-1.931259918E1
1.503246634E0,-3.736859894E1,-6.039000034E0,6.441599846E0
1.513246634E0,-3.757600021E1,-4.757999897E0,7.502999783E0
1.523246634E0,-3.780780029E1,-3.476999998E0,8.698599815E0
1.533246634E0,-3.796640015E1,-2.122799873E0,1.012599945E1
1.543246634E0,-3.811280060E1,-7.197999954E-1,1.167539978E1
1.553246634E0,-3.816159821E1,6.710000038E-1,1.323699951E1
1.563246634E0,-3.814939880E1,2.147199869E0,1.474979973E1
1.573246634E0,-3.801519775E1,3.574599981E0,1.616499901E1
1.583246634E0,-3.768579865E1,5.038599968E0,1.758020020E1
1.593246634E0,-3.727099991E1,6.478199959E0,1.900759888E1
1.603246634E0,-3.677079773E1,7.917799950E0,2.042280006E1
1.613246634E0,-3.620959854E1,9.137800217E0,2.139879990E1
1.623246634E0,-3.556299973E1,1.032119942E1,2.232600021E1
1.633246634E0,-3.478219986E1,1.163879967E1,2.337520027E1
1.643246634E0,-3.389159775E1,1.291979980E1,2.425359917E1
1.653246634E0,-3.295219803E1,1.420079994E1,2.505879974E1
1.663246634E0,-3.204940033E1,1.529879951E1,2.559560013E1
1.673246634E0,-3.098799896E1,1.645779991E1,2.586400032E1
1.683246634E0,-2.991440010E1,1.755579948E1,2.579080009E1
1.693246634E0,-2.884079933E1,1.858059883E1,2.571759987E1
1.703246634E0,-2.775499916E1,1.965419960E1,2.555900002E1
1.713246634E0,-2.671800041E1,2.054479980E1,2.497340012E1
1.723246634E0,-2.917020035E1,2.131340027E1,2.332639885E1
1.733246634E0,-2.819419861E1,2.203319931E1,2.265539932E1
1.743246634E0,-2.732799911E1,2.270419884E1,2.198439980E1
1.753246634E0,-2.652279854E1,2.324099922E1,2.127680016E1
1.763246634E0,-2.565659904E1,2.380220032E1,2.070339966E1
1.773246634E0,-2.481480026E1,2.427799988E1,2.005679893E1
1.783246634E0,-2.409499931E1,2.460739899E1,1.943459892E1
1.793246634E0,-2.344840050E1,2.492459869E1,1.903199959E1
1.803246634E0,-2.283839989E1,2.519299889E1,1.872699928E1
