"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.722430875E0,5.989195404E0,-6.423741760E0,-4.798271942E0
1.732374875E0,6.701863403E0,-7.449857941E0,-5.136119385E0
1.742319875E0,6.447691956E0,-8.053402863E0,-4.976700897E0
1.752263875E0,5.993087311E0,-7.935597839E0,-6.153403931E0
1.762207875E0,5.948629761E0,-7.429799652E0,-6.819219360E0
1.772151875E0,5.282964020E0,-6.407425690E0,-7.628137207E0
1.782095875E0,4.824766846E0,-5.701194305E0,-8.164920959E0
1.792039875E0,4.289629669E0,-5.005590820E0,-9.016949158E0
1.801983875E0,4.068988495E0,-4.360731812E0,-7.989485779E0
1.811927875E0,3.924838257E0,-4.405638428E0,-8.799301758E0
1.821871875E0,3.933669891E0,-5.412744141E0,-8.278983765E0
1.831815875E0,4.054618378E0,-6.353088684E0,-7.922425232E0
1.841760875E0,4.224814453E0,-6.786437531E0,-7.764503632E0
1.851704875E0,4.121678925E0,-6.402036896E0,-7.609725494E0
1.861648875E0,3.802542572E0,-5.486540680E0,-7.627089386E0
1.871592875E0,3.707340546E0,-4.791985016E0,-7.657176819E0
1.881536875E0,3.787573700E0,-4.661606140E0,-7.689659271E0
1.891480875E0,3.788621521E0,-4.978646851E0,-7.726632385E0
1.901424875E0,3.538641357E0,-5.108426971E0,-7.632478180E0
1.911368875E0,3.254232788E0,-5.334456940E0,-7.744445343E0
1.921312875E0,3.379971313E0,-5.178930359E0,-7.844437408E0
1.931256875E0,3.573069763E0,-4.287384338E0,-7.642956390E0
1.941201875E0,3.471730499E0,-4.368515625E0,-7.609875183E0
1.951145875E0,3.503015442E0,-4.760550385E0,-7.716154175E0
1.961089875E0,3.552861786E0,-4.529880066E0,-7.707621918E0
1.971033875E0,3.710783386E0,-4.416565704E0,-7.602839813E0
1.980977875E0,3.674409027E0,-4.503534851E0,-7.592960358E0
1.990921875E0,3.684587860E0,-4.954097900E0,-7.514972534E0
2.000865875E0,3.636537781E0,-5.174888763E0,-7.570656738E0
2.010809875E0,3.722908173E0,-5.126389618E0,-7.560328217E0
2.020753875E0,3.882925415E0,-4.979245605E0,-7.418123932E0
