"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.026345000E0,-4.436079562E-1,-2.620975375E-1,-4.366554916E-1
1.036289000E0,-3.454324007E-1,-4.183026552E-1,-3.629962206E-1
1.046233000E0,-2.408253103E-1,-3.458835781E-1,-3.000992537E-1
1.056177000E0,-1.591242105E-1,-5.314608291E-2,-2.899151146E-1
1.066121000E0,-9.805046767E-2,1.652874500E-1,-3.055489361E-1
1.076065000E0,-8.714180440E-2,2.301734537E-1,-3.025965393E-1
1.086009000E0,-1.022959873E-1,1.800256073E-1,-2.669629157E-1
1.095953000E0,-1.325312108E-1,1.016875431E-1,-2.478226870E-1
1.105898000E0,-1.570671797E-1,1.246208251E-1,-2.168690264E-1
1.115842000E0,-2.239836454E-1,2.994971275E-1,-1.272532791E-1
1.125786000E0,-3.117926121E-1,5.297601819E-1,-5.388265476E-2
1.135730000E0,-4.087300897E-1,8.358290792E-1,-6.696417928E-2
1.145674000E0,-4.222184718E-1,9.767243862E-1,-1.122102216E-1
1.155618000E0,-3.770490885E-1,1.074247837E0,-1.669242233E-1
1.165562000E0,-2.872734070E-1,9.447968006E-1,-1.722904891E-1
1.175506000E0,-1.785125434E-1,4.911360145E-1,-1.585374922E-1
1.185450000E0,-6.397105008E-2,8.792542852E-3,-2.112742066E-1
1.195394000E0,-1.115596015E-2,-2.662749290E-1,-3.687779605E-1
1.205338000E0,-9.269822389E-2,-5.097352713E-2,-4.215927124E-1
1.215283000E0,-2.378758341E-1,3.643513322E-1,-3.833934367E-1
1.225227000E0,-2.574947774E-1,4.215536416E-1,-2.991163731E-1
1.235171000E0,-1.791316420E-1,2.437851429E-1,-1.980168521E-1
1.245115000E0,-1.237626672E-1,5.374409258E-2,-1.261485219E-1
1.255059000E0,-2.218153775E-1,-1.203684807E-1,-3.075363487E-2
1.265003000E0,-3.471516967E-1,-4.237487540E-2,7.785220444E-2
1.274947000E0,-3.576222360E-1,2.513914108E-1,1.703405231E-1
1.284891000E0,-2.503378689E-1,5.390109420E-1,1.831513941E-1
1.294835000E0,-1.395230740E-1,5.028997064E-1,1.187707633E-1
1.304779000E0,-6.406188011E-2,2.230603248E-1,7.742598653E-2
1.314723000E0,6.842608564E-3,-1.387508810E-1,9.749534726E-2
1.324668000E0,3.486971557E-2,-4.132900238E-1,1.789201647E-1
1.334612000E0,5.204797909E-2,-5.090319514E-1,2.822866738E-1
1.344556000E0,7.425714284E-2,-3.648649156E-1,3.533581793E-1
1.354500000E0,2.275980823E-2,-3.127416968E-2,3.461084068E-1
1.364444000E0,-8.532750607E-2,3.868564963E-1,2.715329826E-1
1.374388000E0,-1.887606382E-1,6.793114543E-1,1.440427452E-1
1.384332000E0,-2.289988697E-1,7.591357231E-1,8.373547345E-2
