"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.338965875E0,-9.748664856E0,3.598044968E1,1.676770401E1
2.348909875E0,-9.771919250E0,3.601284027E1,1.677057648E1
2.358853875E0,-9.736404419E0,3.602728653E1,1.681153488E1
2.368797875E0,-9.800209045E0,3.585977936E1,1.680610657E1
2.378742875E0,-9.738594055E0,3.600035858E1,1.684315109E1
2.388686875E0,-9.750534058E0,3.589540863E1,1.686669540E1
2.398630875E0,-9.818374634E0,3.591293335E1,1.677286911E1
2.408574875E0,-9.788627625E0,3.573757935E1,1.672363663E1
2.418518875E0,-9.815528870E0,3.558908844E1,1.677013016E1
2.428462875E0,-9.802139282E0,3.555455780E1,1.678804779E1
2.438406875E0,-9.741783142E0,3.550813675E1,1.694725800E1
2.448350875E0,-9.719619751E0,3.539249039E1,1.700085449E1
2.458295875E0,-9.673072815E0,3.534889984E1,1.695157242E1
2.468239875E0,-9.628334045E0,3.532998657E1,1.691377258E1
2.478183875E0,-9.478706360E0,3.528076553E1,1.673252869E1
2.488127875E0,-9.461051941E0,3.528950500E1,1.660159683E1
2.498071875E0,-9.482833862E0,3.524460602E1,1.652724075E1
2.508015875E0,-9.429313660E0,3.518783569E1,1.669146347E1
2.517959875E0,-9.217048645E0,3.510763550E1,1.696499252E1
2.527903875E0,-9.109222412E0,3.515309906E1,1.700422287E1
2.537848875E0,-9.052406311E0,3.514403534E1,1.702773285E1
2.547792875E0,-9.006935120E0,3.496901321E1,1.716645432E1
2.557736875E0,-9.078704834E0,3.471198273E1,1.722555161E1
2.567680875E0,-9.023040771E0,3.465850067E1,1.719335938E1
2.577624875E0,-9.029029846E0,3.468867874E1,1.725170898E1
2.587568875E0,-8.931030273E0,3.477436829E1,1.713243484E1
2.597512875E0,-8.946823120E0,3.476336670E1,1.710568237E1
2.607456875E0,-8.746681213E0,3.470848083E1,1.723641586E1
2.617401875E0,-8.608718872E0,3.463575745E1,1.725474167E1
2.627345875E0,-8.682884216E0,3.453963089E1,1.732437134E1
2.637289875E0,-8.814064026E0,3.454039383E1,1.747215652E1
2.647234792E0,-8.930839539E0,3.446525574E1,1.740311432E1
2.657178792E0,-8.864913940E0,3.435861969E1,1.734816360E1
2.667122792E0,-8.832763672E0,3.426147461E1,1.746137619E1
2.677066792E0,-8.674209595E0,3.436706543E1,1.762478638E1
2.687011792E0,-8.617874146E0,3.430521393E1,1.780669403E1
2.696955792E0,-8.542648315E0,3.428553772E1,1.773874283E1
2.706899792E0,-8.515769958E0,3.435398102E1,1.762771988E1
2.716843792E0,-8.457778931E0,3.433366013E1,1.753461075E1
2.726787792E0,-8.502906799E0,3.434947968E1,1.749715042E1
2.736731792E0,-8.549468994E0,3.428643417E1,1.747478485E1
2.746675792E0,-8.587677002E0,3.442343140E1,1.753025055E1
2.756619792E0,-8.566589355E0,3.442872620E1,1.738843918E1
2.766564792E0,-8.604896545E0,3.441149139E1,1.738842392E1
2.776508792E0,-8.627494812E0,3.448277664E1,1.728401947E1
2.786452792E0,-8.782035828E0,3.436990356E1,1.736906433E1
2.796396792E0,-8.830795288E0,3.438448715E1,1.745940018E1
2.806340792E0,-8.780906677E0,3.430469513E1,1.744876099E1
2.816284792E0,-8.886207581E0,3.432165146E1,1.744722748E1
2.826228792E0,-8.871498108E0,3.431387329E1,1.742734909E1
2.836173792E0,-8.787208557E0,3.431677628E1,1.727371597E1
2.846117792E0,-8.735038757E0,3.434971619E1,1.724515152E1
2.856061792E0,-8.736083984E0,3.438505173E1,1.719107819E1
2.866005792E0,-8.743919373E0,3.429413605E1,1.725065613E1
2.875949792E0,-8.743919373E0,3.429413605E1,1.725065613E1
2.885893792E0,-8.793624878E0,3.434548950E1,1.717276382E1
2.895837792E0,-8.772895813E0,3.418796158E1,1.710299301E1
2.905782792E0,-8.662757874E0,3.415836334E1,1.701755142E1
2.915726792E0,-8.607078552E0,3.418325806E1,1.721384430E1
2.925670792E0,-8.515747070E0,3.415893555E1,1.730899811E1
2.935614792E0,-8.485084534E0,3.408198929E1,1.744461823E1
2.945558792E0,-8.482208252E0,3.406502533E1,1.750512695E1
2.955502792E0,-8.307075500E0,3.408061981E1,1.751302338E1
2.965446792E0,-8.262077332E0,3.397636414E1,1.745251465E1
2.975391792E0,-8.202941895E0,3.387047958E1,1.747512817E1
2.985335792E0,-8.303688049E0,3.381498718E1,1.755761337E1
2.995279792E0,-8.091201782E0,3.375943375E1,1.754391098E1
3.005223792E0,-7.996429443E0,3.388637543E1,1.736153412E1
3.015167792E0,-7.894683838E0,3.389900970E1,1.734710312E1
3.025111792E0,-8.007698059E0,3.397050476E1,1.729690933E1
3.035056792E0,-8.087615967E0,3.376220703E1,1.736742020E1
3.045000792E0,-8.005584717E0,3.374927139E1,1.757002258E1
3.054944792E0,-7.844291687E0,3.380995941E1,1.757164383E1
3.064888792E0,-7.735069275E0,3.370977783E1,1.763062668E1
3.074832792E0,-7.698341370E0,3.370446014E1,1.755047989E1
3.084776792E0,-7.759346008E0,3.370228195E1,1.740558243E1
3.094720792E0,-7.864265442E0,3.362715912E1,1.730181885E1
3.104665792E0,-7.786605835E0,3.361062622E1,1.734541321E1
3.114609792E0,-7.753417969E0,3.366205215E1,1.730972290E1
3.124553792E0,-7.719970703E0,3.367634964E1,1.743262100E1
3.134497792E0,-7.574424744E0,3.379009247E1,1.720669556E1
3.144441792E0,-7.416564941E0,3.357721329E1,1.721278000E1
3.154385792E0,-7.402420044E0,3.351685715E1,1.727627563E1
3.164330792E0,-7.491432190E0,3.353054810E1,1.731816483E1
3.174274792E0,-7.618835449E0,3.352191162E1,1.730072403E1
3.184218792E0,-7.619232178E0,3.365992355E1,1.727214813E1
3.194162792E0,-7.561637878E0,3.377067947E1,1.734556961E1
3.204106792E0,-7.452087402E0,3.377523804E1,1.743260574E1
3.214050792E0,-7.332839966E0,3.375170135E1,1.740995789E1
3.223995792E0,-7.355766296E0,3.372485352E1,1.730760574E1
3.233939792E0,-7.397331238E0,3.374130249E1,1.728031921E1
3.243883792E0,-7.400939941E0,3.386972809E1,1.747751236E1
3.253827792E0,-7.354766846E0,3.382244492E1,1.753496552E1
3.263771792E0,-7.316078186E0,3.384181213E1,1.755241013E1
3.273715792E0,-7.209793091E0,3.383826447E1,1.753792191E1
3.283659792E0,-7.209243774E0,3.375802612E1,1.748250580E1
3.293604792E0,-6.962882996E0,3.382712555E1,1.750822449E1
3.303548792E0,-6.874946594E0,3.386119843E1,1.751116562E1
3.313492792E0,-7.056602478E0,3.381125259E1,1.756156158E1
3.323436792E0,-7.161674500E0,3.395225143E1,1.754744720E1
3.333380792E0,-7.189208984E0,3.393833542E1,1.763485336E1
3.343324792E0,-7.184806824E0,3.406953812E1,1.761400223E1
3.353269792E0,-7.179176331E0,3.400735855E1,1.766299438E1
3.363213792E0,-7.207107544E0,3.397434616E1,1.759989548E1
3.373157792E0,-7.155616760E0,3.406332397E1,1.755667496E1
3.383101792E0,-7.307929993E0,3.415201569E1,1.757373810E1
3.393045792E0,-7.263618469E0,3.433448029E1,1.744617462E1
3.402989792E0,-7.309570312E0,3.432386398E1,1.752130890E1
3.412934792E0,-7.476654053E0,3.436563110E1,1.761459732E1
3.422878792E0,-7.479187012E0,3.441789627E1,1.755545807E1
3.432822792E0,-7.355751038E0,3.448788834E1,1.741993713E1
3.442766792E0,-7.370079041E0,3.453422546E1,1.742509460E1
3.452710792E0,-7.285682678E0,3.451235962E1,1.744504547E1
3.462654792E0,-7.360961914E0,3.456516266E1,1.733086395E1
3.472599792E0,-7.427307129E0,3.458694458E1,1.733481598E1
3.482543792E0,-7.359497070E0,3.476989746E1,1.727431870E1
3.492487792E0,-7.365524292E0,3.474248505E1,1.753419113E1
3.502431792E0,-7.464797974E0,3.462499237E1,1.748793793E1
3.512375792E0,-7.589782715E0,3.464829254E1,1.729469299E1
3.522319792E0,-7.550430298E0,3.480711365E1,1.711792374E1
3.532264792E0,-7.622123718E0,3.492180634E1,1.706712341E1
3.542208792E0,-7.613136292E0,3.488671875E1,1.693349457E1
3.552152792E0,-7.619636536E0,3.507881927E1,1.682384491E1
3.562096792E0,-7.614791870E0,3.495983887E1,1.680767822E1
3.572040792E0,-7.644927979E0,3.489492035E1,1.676499176E1
3.581984792E0,-7.661697388E0,3.493656158E1,1.679065704E1
3.591929792E0,-7.587280273E0,3.499110413E1,1.676239395E1
3.601873792E0,-7.518913269E0,3.498463058E1,1.693149567E1
3.611817792E0,-7.474708557E0,3.491041565E1,1.690755844E1
3.621761792E0,-7.510154724E0,3.497405624E1,1.688243866E1
3.631705792E0,-7.529342651E0,3.495816422E1,1.673064041E1
3.641650250E0,-7.602951050E0,3.492208481E1,1.662344742E1
3.651594250E0,-7.584678650E0,3.508387375E1,1.654378510E1
3.661538250E0,-7.589752197E0,3.507944489E1,1.638927841E1
3.671482250E0,-7.549774170E0,3.518330383E1,1.631045151E1
3.681426250E0,-7.577445984E0,3.536504364E1,1.623928833E1
3.691370250E0,-7.683883667E0,3.530896378E1,1.614249039E1
3.701315250E0,-7.697769165E0,3.529204178E1,1.615233994E1
3.711259250E0,-7.675827026E0,3.524436951E1,1.621421051E1
3.721203250E0,-7.736068726E0,3.520964432E1,1.625939178E1
3.731147250E0,-7.722152710E0,3.535466003E1,1.633282471E1
3.741091250E0,-7.723518372E0,3.536117554E1,1.637245560E1
3.751035250E0,-7.514076233E0,3.539379120E1,1.633455658E1
3.760980250E0,-7.471008301E0,3.525409317E1,1.625793839E1
3.770924250E0,-7.498550415E0,3.521607971E1,1.615947723E1
3.780868250E0,-7.356010437E0,3.528261185E1,1.631156921E1
3.790812250E0,-7.275794983E0,3.532570648E1,1.635713959E1
3.800756250E0,-7.275794983E0,3.532570648E1,1.635713959E1
3.810701250E0,-7.310165405E0,3.530736160E1,1.639712524E1
3.820645250E0,-7.262977600E0,3.536771393E1,1.634676361E1
3.830589250E0,-7.277366638E0,3.523504639E1,1.637439346E1
3.840533250E0,-7.288581848E0,3.519841003E1,1.625476837E1
3.850477250E0,-7.258697510E0,3.518905640E1,1.632891083E1
3.860421250E0,-7.188072205E0,3.515299988E1,1.646182251E1
3.870366250E0,-7.029357910E0,3.514328384E1,1.659965515E1
3.880310250E0,-7.163932800E0,3.504419708E1,1.677846527E1
3.890254250E0,-7.207031250E0,3.484775925E1,1.681478119E1
3.900198250E0,-7.202552795E0,3.487008667E1,1.692305756E1
3.910142250E0,-7.206459045E0,3.480439377E1,1.681206512E1
3.920086250E0,-7.147422791E0,3.476327515E1,1.678837585E1
3.930031250E0,-7.209434509E0,3.483478546E1,1.683687973E1
3.939975250E0,-7.238250732E0,3.494029236E1,1.690528870E1
3.949919250E0,-7.261566162E0,3.487704468E1,1.683226776E1
3.959863250E0,-7.245719910E0,3.484602356E1,1.663861847E1
3.969807250E0,-7.327209473E0,3.473700714E1,1.657411575E1
3.979751250E0,-7.336357117E0,3.469214630E1,1.668424988E1
3.989696250E0,-7.347061157E0,3.467324448E1,1.666347122E1
3.999640250E0,-7.314651489E0,3.467273331E1,1.672708130E1
4.009584250E0,-7.263572693E0,3.472171021E1,1.692629242E1
4.019528250E0,-7.359909058E0,3.470844650E1,1.691390228E1
4.029472250E0,-7.570602417E0,3.462636185E1,1.688378525E1
4.039417250E0,-7.407936096E0,3.462136841E1,1.688833618E1
4.049361250E0,-7.368881226E0,3.468838120E1,1.699771881E1
4.059305250E0,-7.268310547E0,3.470647430E1,1.689439774E1
4.069249250E0,-7.349121094E0,3.473743820E1,1.684298706E1
4.079193250E0,-7.321914673E0,3.480165863E1,1.687054443E1
4.089137250E0,-7.312309265E0,3.484535217E1,1.683620834E1
4.099082250E0,-7.299980164E0,3.479316330E1,1.695746994E1
4.109026250E0,-7.260948181E0,3.476760101E1,1.684636307E1
4.118970250E0,-7.341423035E0,3.474506378E1,1.681545258E1
4.128914250E0,-7.300941467E0,3.475623703E1,1.695673752E1
4.138858250E0,-7.361846924E0,3.478318024E1,1.712835693E1
4.148803250E0,-7.380958557E0,3.474234009E1,1.710770798E1
