"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.583151198E0,-2.479605675E0,4.408948421E0,6.363983154E-1
1.588200208E0,-2.653189421E0,4.727070808E0,1.006159425E0
1.593249167E0,-1.183794498E0,4.218083382E0,1.079036951E0
1.598298125E0,8.638381958E-2,3.196811199E0,5.083155632E-1
1.603347135E0,1.802692413E-1,3.364714622E0,2.389459610E-1
1.608403437E0,-2.036147118E-1,3.768193245E0,1.070084572E-1
1.613452396E0,-6.469125748E-1,3.951710224E0,-3.818448782E-1
1.618501406E0,-9.291372299E-1,3.524688244E0,-7.179574370E-1
1.623550364E0,-1.008292675E0,3.267318726E0,-1.149522305E0
1.628599323E0,-9.154710770E-1,3.185625076E0,-1.558101892E0
1.633648333E0,-8.820276260E-1,3.005874634E0,-1.758659601E0
1.638704687E0,-8.886890411E-1,3.132723808E0,-1.887040377E0
1.643754635E0,-3.776345253E-1,2.706175804E0,-1.760399342E0
1.648804635E0,3.790054321E-1,2.359401703E0,-1.587361336E0
1.653854583E0,9.716873169E-1,2.800201893E0,-1.594685555E0
1.658904531E0,1.536836147E0,2.834971905E0,-1.686339021E0
1.663954479E0,1.596034527E0,2.823352814E0,-1.619620204E0
1.669005885E0,2.065429688E0,2.102678776E0,-1.350112677E0
1.674055833E0,2.163639069E0,1.354923248E0,-1.194572449E0
1.679105833E0,1.451055050E0,3.152732849E-1,-5.292916298E-1
1.684155781E0,9.900879860E-1,-9.013080597E-2,-2.320057154E-1
1.689205729E0,5.886831284E-1,-6.619901657E-1,1.810808182E-1
1.694255677E0,1.081670284E0,-8.966217041E-1,7.863178253E-1
1.699307135E0,1.334659100E0,-8.427572250E-1,1.771319389E0
1.704357083E0,1.125553131E0,-4.577589035E-1,2.394910812E0
1.709407083E0,3.143310547E-1,1.262996197E0,3.079249382E0
1.714457031E0,-6.798312664E-1,2.631925583E0,1.846853018E0
1.719506979E0,-1.449160099E0,2.097504139E0,1.925631285E0
1.724556927E0,-1.962036848E0,9.729452133E-1,1.471107721E0
1.729608437E0,-1.728218317E0,-2.065114975E-1,1.719001532E-1
1.734658385E0,-1.274782419E0,-1.190506935E0,-1.002631664E0
1.739708385E0,-9.448895454E-1,-1.818884850E0,-1.967514634E0
1.744758333E0,-7.551128864E-1,-1.747664452E0,-2.841400146E0
1.749808281E0,-8.665673733E-1,-1.615550995E0,-3.181851387E0
1.754858229E0,-6.248233318E-1,-9.140615463E-1,-3.453114033E0
1.759949114E0,-1.707632542E-1,3.109865189E-1,-3.320477009E0
1.764999114E0,-5.887825489E-1,2.845698357E0,-2.859097719E0
1.770049062E0,-9.905390739E-1,3.855220318E0,-1.549333572E0
1.775099010E0,-8.057255745E-1,3.305553436E0,-2.484467506E0
1.780149010E0,-1.191197872E0,2.321325302E0,-2.369272232E0
1.785198958E0,-1.821841002E0,1.267060280E0,-1.789313674E0
1.790210937E0,-2.283594131E0,6.364946365E-1,-1.231483936E0
1.795260885E0,-2.092815399E0,9.287099838E-1,-9.030009508E-1
1.800310885E0,-1.516851902E0,1.974880219E0,-1.037718534E0
1.805360833E0,-9.905838966E-1,1.970324039E0,-1.793453097E0
1.810410781E0,-7.791144848E-1,2.079737186E0,-2.267190933E0
1.815460729E0,-6.861450672E-1,1.967614174E0,-2.418146133E0
1.820512135E0,-7.559833527E-1,1.749983788E0,-2.542818308E0
1.825562083E0,-8.429877758E-1,1.561634541E0,-2.785894394E0
1.830612083E0,-9.356641769E-1,1.488814354E0,-2.693828821E0
1.835662031E0,-1.236558914E0,1.518254757E0,-2.447173357E0
1.840711979E0,-1.785290360E0,1.545886993E0,-2.104956388E0
1.845761927E0,-2.556499243E0,1.767471313E0,-1.635718107E0
1.850852812E0,-2.869609833E0,2.080468178E0,-1.147069573E0
1.855902812E0,-2.793720961E0,2.609564781E0,-8.250038624E-1
1.860952760E0,-2.691105127E0,2.844322205E0,-5.259478092E-1
1.866002708E0,-2.346919298E0,3.171208382E0,-1.528849602E-1
1.871052708E0,-1.980208635E0,3.436056614E0,1.500504017E-1
1.876102656E0,-1.457424402E0,3.704864502E0,3.488292694E-1
1.881114635E0,-7.949341536E-1,3.736621380E0,4.312758446E-1
1.886164583E0,-2.827448845E-1,2.806377411E0,5.543177128E-1
1.891214583E0,3.081691265E-1,1.471377373E0,3.188006878E-1
1.896264531E0,6.542366743E-1,8.422470093E-1,-1.560337543E-1
1.901314479E0,1.911603212E-1,1.454644680E0,-6.864047050E-1
1.906364427E0,-3.597800732E-1,2.275955200E0,-7.875596285E-1
1.911415885E0,-3.665575981E-1,2.300828934E0,-5.990018845E-1
1.916465833E0,-2.131751180E-1,2.062310696E0,-1.596195698E-1
1.921515833E0,-2.025878429E-2,1.738245010E0,2.631776333E-1
