"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.254629833E0,-6.159222722E-1,-8.534934521E-1,1.336209655E0
1.264574833E0,-9.848790169E-1,-8.544374704E-1,2.563556910E0
1.274518833E0,-1.705231071E0,-7.529214621E-1,3.708208561E0
1.284462833E0,-2.312675953E0,-5.921283960E-1,4.553813934E0
1.294406833E0,-2.592501879E0,-4.123698175E-1,4.909883499E0
1.304350833E0,-2.587917089E0,-1.613168791E-2,4.688965321E0
1.314295833E0,-2.442475319E0,4.414398670E-1,3.921421528E0
1.324239833E0,-2.194213629E0,9.556308985E-1,2.954166889E0
1.334183833E0,-1.884123445E0,1.287790418E0,2.182762384E0
1.344127833E0,-1.564745426E0,1.427537203E0,2.049690008E0
1.354072833E0,-1.358332634E0,1.976167560E0,2.578316927E0
1.364016833E0,-1.156315565E0,3.194468975E0,3.634477615E0
1.373960833E0,-7.248935699E-1,4.839829922E0,4.525611401E0
1.383904833E0,-1.482752442E0,4.035169125E0,5.204914093E0
1.393849833E0,-2.537945509E0,-4.052837789E-1,5.374589443E0
1.403793833E0,-2.326724529E0,-3.441096306E0,5.054798126E0
1.413737833E0,-1.416936636E0,-3.112940073E0,4.615411282E0
1.423681833E0,-1.008744240E0,-1.215306520E0,4.251677990E0
1.433626833E0,-8.655984402E-1,3.039290607E-1,4.002974033E0
1.443570833E0,-8.379167318E-1,8.645250797E-1,3.729658604E0
1.453514833E0,-7.499828935E-1,6.840769649E-1,3.390435696E0
1.463458833E0,-3.700397313E-1,1.592876613E-1,2.864067554E0
1.473403833E0,1.468931288E-1,-2.902843058E-1,2.244338989E0
1.483347833E0,6.323585510E-1,-4.579112232E-1,1.495614171E0
1.493291833E0,8.887847662E-1,-1.232842430E-1,6.627705097E-1
1.503235833E0,1.016947985E0,4.598214328E-1,-2.178802788E-1
1.513179833E0,1.088249087E0,8.044094443E-1,-1.197163701E0
1.523124833E0,1.093325615E0,9.037061334E-1,-2.130448818E0
1.533068833E0,9.988002181E-1,9.365469217E-1,-2.834112167E0
1.543012833E0,6.127859354E-1,9.384354949E-1,-3.263572693E0
1.552956833E0,-1.306604743E-1,8.546945453E-1,-3.516417265E0
1.562901833E0,-8.486598730E-1,7.094484568E-1,-3.567963839E0
1.572845833E0,-1.137280464E0,7.232193947E-1,-3.373519897E0
1.582789833E0,-9.443987608E-1,9.346255064E-1,-3.036246538E0
1.592733833E0,-4.544476569E-1,1.066781998E0,-2.504767418E0
1.602678833E0,3.742431998E-1,9.700715542E-1,-1.626031280E0
1.612622833E0,1.276268601E0,3.938023448E-1,-4.739477932E-1
1.622566833E0,1.833645940E0,-2.962626517E-1,4.923981428E-1
1.632510833E0,1.737934589E0,-5.341353416E-1,6.588728428E-1
1.642455833E0,1.161492348E0,-4.875272512E-1,1.842905134E-1
1.652399833E0,1.948962808E-1,-8.676639199E-1,-3.492091000E-1
1.662343833E0,-4.731743932E-1,-2.779392898E-1,-6.615388393E-1
1.672287833E0,2.702699304E-1,-2.942026854E-1,-6.045144200E-1
