"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.589004833E0,1.441801758E0,5.031187592E0,2.213896179E0
1.598949833E0,-1.561253357E-1,5.301675110E0,5.169050903E0
1.608893833E0,-2.652484131E0,4.539160767E0,8.731343079E0
1.618837833E0,-4.993615723E0,3.456162872E0,1.022628433E1
1.628781833E0,-4.773423615E0,2.290536804E0,8.141868896E0
1.638726833E0,-6.539900208E-1,1.260079651E0,2.568957825E0
1.648670833E0,3.162473602E0,8.933422852E-1,-4.072581024E0
1.658614833E0,4.459825745E0,-3.468287659E-1,-1.481469269E1
1.668558833E0,3.362308044E0,-8.290958862E0,-1.928095505E1
1.678502833E0,-2.664459229E-2,-1.840153381E1,1.127036316E1
1.688447833E0,-3.291505280E0,-2.597967499E1,2.040257263E1
1.698391833E0,-4.914580078E0,-3.714106476E1,1.862726440E1
1.708335833E0,-3.131787415E0,-4.106141235E1,1.273551636E1
1.718279833E0,-7.723937988E-2,-3.362622391E1,3.448977814E0
1.728224833E0,1.601819000E0,-1.989707382E1,-4.925657043E0
1.738168833E0,6.577921143E0,-1.328487396E1,1.184337158E0
1.748112833E0,8.595874786E0,-9.995614014E0,3.379971313E0
1.758056833E0,1.062415695E1,-6.447841644E0,6.452032928E0
1.768001833E0,9.419911194E0,-6.368806000E0,1.253029312E1
1.777945833E0,2.747985535E0,-1.202359680E1,1.480346603E1
1.787889833E0,-6.174360352E0,-1.644136002E1,1.440828781E1
1.797833833E0,-1.336495743E1,-2.000574783E1,1.160132492E1
1.807777833E0,-1.775353134E1,-2.357702133E1,6.710245972E0
1.817722833E0,-1.891601395E1,-2.771202255E1,-1.010773087E1
1.827666833E0,-1.549757263E1,-2.834161331E1,-1.663969757E1
1.837610833E0,-8.631351013E0,-2.220766891E1,-3.743714905E0
1.847554833E0,-6.740632782E0,-1.594663879E1,-1.644031219E0
1.857499833E0,-8.189469910E0,-1.186941742E1,-1.940265198E0
1.867443833E0,-1.072878937E1,-9.894274750E0,-2.172282715E0
1.877387833E0,-1.184905975E1,-8.275391235E0,-6.789880371E-1
1.887331833E0,-1.225172241E1,-6.010301514E0,1.197809143E0
1.897276833E0,-1.227597198E1,-2.866838379E0,5.227130127E-1
1.907220833E0,-1.228689926E1,5.454656982E-1,-3.371888123E0
1.917164833E0,-1.251128265E1,3.614982605E0,-7.508685608E0
1.927108833E0,-1.166030228E1,5.413193207E0,-6.800208893E0
1.937053833E0,-8.893156586E0,5.906716919E0,-3.718118134E0
1.946997833E0,-4.849465485E0,6.086044006E0,-2.209106140E0
1.956941833E0,-6.403683472E-1,5.681136017E0,-1.710493011E0
1.966885833E0,2.647843781E0,4.143234100E0,-5.248086548E-1
1.976830833E0,3.525468750E0,1.394949188E0,1.456620941E0
1.986774833E0,1.099313965E0,-1.628313904E0,2.553689575E0
1.996718833E0,-1.198258209E0,-3.873045959E0,2.573298798E0
2.006662833E0,-3.662882996E0,-5.210814056E0,-1.304836578E0
2.016606833E0,-1.180789536E1,-1.066113007E1,1.045126648E0
2.026551833E0,-1.542527298E1,-2.001787262E1,1.344369370E1
2.036495833E0,-1.783750671E1,-3.326547409E1,6.390660553E0
2.046439833E0,-1.870540192E1,-5.134278214E1,4.953349457E0
2.056383833E0,-1.649854111E1,-5.846661804E1,1.163695084E1
2.066328833E0,-9.568701782E0,-5.337690216E1,8.772956543E0
2.076272833E0,-2.689008179E0,-4.052837082E1,6.348148956E0
2.086216833E0,6.860234070E-1,-3.050117249E1,5.345384216E0
2.096160833E0,3.273392944E0,-2.339425140E1,4.135001221E0
2.106105833E0,4.749473419E0,-1.836426132E1,1.434467010E0
2.116049833E0,5.267995148E0,-1.422327255E1,-7.438032532E-1
2.125993833E0,4.220323792E0,-1.027837601E1,-1.424737244E0
2.135937833E0,4.928052063E0,-5.390590210E0,-9.425898743E-1
2.145881833E0,5.447322235E0,-1.854493561E0,-5.385800171E-1
2.155826833E0,5.012476501E0,7.792794800E-1,4.441264343E-1
2.165770833E0,5.568570099E0,2.399809570E0,9.442364502E-1
2.175714833E0,5.502707062E0,4.082759857E0,1.558259583E-1
2.185658833E0,4.936284943E0,5.323679352E0,-1.465003510E0
2.195603833E0,4.233197021E0,6.075715485E0,-4.195625153E0
2.205547833E0,3.856280823E0,6.965016174E0,-6.749614105E0
2.215491833E0,3.658392334E0,7.299720154E0,-6.467301178E0
2.225435833E0,3.151246948E0,7.464228058E0,-4.067491608E0
2.235379833E0,1.884431305E0,7.174580383E0,-9.310638428E-1
2.245324833E0,-3.388952637E-1,5.713468781E0,4.626728668E0
2.255268833E0,-3.560346222E0,3.328029327E0,1.150088379E1
2.265212833E0,-5.611381073E0,1.112785950E0,1.299986664E1
2.275156833E0,-3.721261597E0,-9.812095642E-1,9.710756378E0
2.285101833E0,8.080197144E-1,-1.989363098E0,3.164120178E0
2.295045833E0,3.877087555E0,-1.879042511E0,-3.793561249E0
2.304989833E0,5.108576660E0,-3.872297516E0,-1.735925125E1
2.314933833E0,3.231779480E0,-1.450827988E1,-6.866221619E0
2.324878833E0,-6.099815369E-1,-1.945713867E1,9.964329071E0
2.334822833E0,-6.099216614E0,-2.707704300E1,1.347647552E1
2.344766833E0,-5.756579132E0,-3.469245667E1,1.367511246E1
2.354710833E0,-1.879940643E0,-3.537563599E1,1.029139893E1
2.364655833E0,1.304836578E0,-2.699142105E1,5.435496826E0
2.374599833E0,3.111878815E0,-1.675286224E1,8.538244629E-1
2.384543833E0,5.415887604E0,-1.135254227E1,3.167413330E0
2.394487833E0,7.918982391E0,-6.756499786E0,4.371359711E0
2.404431833E0,7.886649628E0,-2.452649689E0,5.626649323E0
2.414376833E0,4.956642609E0,-7.019951935E0,1.364008530E1
2.424320833E0,-1.256038055E0,-1.307471100E1,1.592119171E1
2.434264833E0,-6.684050446E0,-1.743544281E1,1.427686111E1
2.444208833E0,-9.378148041E0,-2.235960297E1,7.971523132E0
2.454153833E0,-1.244497055E1,-2.797337906E1,-5.353168030E0
2.464097833E0,-1.268267624E1,-3.173580505E1,-1.441023376E1
2.474041833E0,-7.473508759E0,-2.939617035E1,-4.927453308E0
2.483985833E0,-5.754633179E0,-2.278232391E1,3.706292725E-1
2.493929833E0,-8.605454865E0,-1.622012009E1,-4.463717651E-1
2.503874833E0,-1.117590958E1,-1.250304977E1,-2.102527771E0
2.513818833E0,-1.372675507E1,-9.906399536E0,-2.880310364E0
2.523762833E0,-1.536210434E1,-7.366481323E0,-3.659889221E-1
2.533706833E0,-1.596699646E1,-4.014352112E0,6.795867920E-1
2.543651833E0,-1.610066849E1,-4.153862000E-1,-2.219284973E0
2.553595833E0,-1.570144867E1,2.816243591E0,-6.518494720E0
2.563539833E0,-1.403975418E1,4.995262299E0,-7.197183380E0
2.573483833E0,-1.021610550E1,5.707032166E0,-4.195026398E0
2.583428833E0,-5.110522614E0,5.974076843E0,-2.095492401E0
2.593372833E0,-1.245410156E-1,5.878126373E0,-1.383423157E0
2.603316833E0,3.647165680E0,4.787045288E0,-6.354286194E-1
2.613260833E0,5.255121918E0,2.647544403E0,6.288423157E-1
2.623205833E0,3.542233887E0,-2.800675964E-1,1.273401947E0
2.633149833E0,8.830137634E-1,-3.115171967E0,7.176077271E-1
2.643093833E0,-1.252894592E0,-5.067412262E0,-3.705843658E0
2.653037833E0,-7.613916779E0,-1.085767136E1,-2.337239685E0
2.662981833E0,-1.207299408E1,-1.999212616E1,1.318203781E1
2.672926833E0,-1.560834229E1,-3.244832336E1,6.974296875E0
2.682870833E0,-1.788450897E1,-5.085898819E1,2.792592773E0
2.692814833E0,-1.647489029E1,-5.802967667E1,1.300600388E1
2.702758833E0,-1.089539291E1,-5.446962982E1,1.126407623E1
2.712703833E0,-4.783602448E0,-4.210938309E1,6.519093475E0
2.722647833E0,-1.110390930E0,-3.119033936E1,4.045187988E0
