"Time (s)","X (µT)","Y (µT)","Z (µT)"
7.999154883E1,-1.587438202E1,4.169848251E1,-1.527899551E1
8.000149283E1,-1.595340729E1,4.185285950E1,-1.495905685E1
8.001143683E1,-1.610019684E1,4.189115143E1,-1.486398697E1
8.002138083E1,-1.627307892E1,4.186809158E1,-1.497687149E1
8.003132483E1,-1.632366943E1,4.171238327E1,-1.516508102E1
8.004126783E1,-1.636510468E1,4.167902756E1,-1.558600235E1
8.005121183E1,-1.631369781E1,4.161776733E1,-1.610816574E1
8.006115583E1,-1.615331268E1,4.162445831E1,-1.674620438E1
8.007109983E1,-1.609844208E1,4.161556625E1,-1.715665054E1
8.008104383E1,-1.592224884E1,4.146241760E1,-1.750136185E1
8.009098783E1,-1.563571167E1,4.133019257E1,-1.785977554E1
8.010093183E1,-1.548844147E1,4.133191299E1,-1.799803543E1
8.011087583E1,-1.524964905E1,4.137461472E1,-1.805460739E1
8.012081983E1,-1.520274353E1,4.155294037E1,-1.800671768E1
8.013076383E1,-1.526350403E1,4.141629791E1,-1.784400558E1
8.014070783E1,-1.535615540E1,4.138139343E1,-1.765630722E1
8.015065183E1,-1.536827087E1,4.140001678E1,-1.779144669E1
8.016059583E1,-1.551647949E1,4.144948196E1,-1.769891739E1
8.017053983E1,-1.555101013E1,4.141434097E1,-1.755363846E1
8.018048383E1,-1.548139954E1,4.144626617E1,-1.740359116E1
8.019042683E1,-1.524219513E1,4.152766037E1,-1.717360306E1
8.020037083E1,-1.479779053E1,4.184875870E1,-1.681442642E1
8.021031483E1,-1.429602814E1,4.234212494E1,-1.643023300E1
8.022025883E1,-1.385638428E1,4.267708588E1,-1.586687088E1
8.023020283E1,-1.353849030E1,4.280498505E1,-1.542175674E1
8.024014683E1,-1.350664520E1,4.289043045E1,-1.516287613E1
8.025009083E1,-1.350418091E1,4.305543518E1,-1.487823868E1
8.026003483E1,-1.369838715E1,4.302639771E1,-1.468738174E1
8.026997883E1,-1.357225800E1,4.307970047E1,-1.458225632E1
8.027992283E1,-1.344323730E1,4.314229965E1,-1.448929214E1
8.028986683E1,-1.327349091E1,4.338505173E1,-1.426289749E1
8.029981083E1,-1.274660492E1,4.366105652E1,-1.392226028E1
8.030975483E1,-1.229174042E1,4.391472244E1,-1.345048904E1
8.031969883E1,-1.176371002E1,4.414471817E1,-1.316805649E1
8.032964283E1,-1.136723328E1,4.435233688E1,-1.291916275E1
8.033958683E1,-1.085282898E1,4.457452393E1,-1.259887314E1
8.034952983E1,-1.040702820E1,4.467057419E1,-1.243253708E1
8.035947383E1,-9.755264282E0,4.471373749E1,-1.244872665E1
8.036941783E1,-9.132247925E0,4.481333160E1,-1.294739151E1
8.037936183E1,-8.300888062E0,4.481461334E1,-1.346129227E1
8.038930583E1,-7.401466370E0,4.487931824E1,-1.400583267E1
8.039924983E1,-6.363418579E0,4.473514938E1,-1.432908249E1
8.040919383E1,-5.466461182E0,4.467929459E1,-1.466478348E1
8.041913783E1,-4.531997681E0,4.453187180E1,-1.492785263E1
8.042908183E1,-3.686836243E0,4.455567169E1,-1.504643631E1
8.043902583E1,-3.011589050E0,4.463226318E1,-1.523089218E1
8.044896983E1,-2.527709961E0,4.492315292E1,-1.510664749E1
8.045891383E1,-2.214614868E0,4.502243805E1,-1.505294418E1
8.046885783E1,-1.945510864E0,4.513135147E1,-1.513064194E1
8.047880183E1,-1.650886536E0,4.506885529E1,-1.555208969E1
8.048874583E1,-1.312553406E0,4.511314774E1,-1.581222153E1
8.049868883E1,-1.019126892E0,4.500572205E1,-1.604020309E1
8.050863283E1,-8.904647827E-1,4.486431503E1,-1.635939407E1
8.051857683E1,-8.989334106E-1,4.459181213E1,-1.673501968E1
8.052852083E1,-8.197860718E-1,4.442911911E1,-1.704985428E1
8.053846483E1,-5.687026978E-1,4.423523331E1,-1.747758102E1
8.054840883E1,-2.464981079E-1,4.393460464E1,-1.800351334E1
8.055835283E1,7.453918457E-3,4.392056274E1,-1.853967667E1
8.056829683E1,2.247314453E-1,4.362722778E1,-1.885614395E1
8.057824083E1,7.822952271E-1,4.346899033E1,-1.905819321E1
8.058818483E1,1.385505676E0,4.351145554E1,-1.924239731E1
8.059812883E1,1.927001953E0,4.349266052E1,-1.931396103E1
8.060807283E1,2.321884155E0,4.341436005E1,-1.934097672E1
8.061801683E1,2.765563965E0,4.324216461E1,-1.940159988E1
8.062796083E1,3.183013916E0,4.314492035E1,-1.956213760E1
8.063790483E1,3.731903076E0,4.299033356E1,-1.960076523E1
8.064784883E1,4.341629028E0,4.279053116E1,-1.971360397E1
8.065779183E1,4.974899292E0,4.276956940E1,-1.969652176E1
8.066773583E1,5.669288635E0,4.273420715E1,-1.978362656E1
8.067767983E1,6.520645142E0,4.260066986E1,-1.978354263E1
8.068762383E1,7.204360962E0,4.242729568E1,-1.978278732E1
8.069756783E1,7.789985657E0,4.239142227E1,-1.958928299E1
8.070751183E1,8.428092957E0,4.244692612E1,-1.949697495E1
8.071745583E1,9.024490356E0,4.249568939E1,-1.924576187E1
8.072739983E1,9.522720337E0,4.238810730E1,-1.911758804E1
8.073734383E1,1.008623505E1,4.233679199E1,-1.885028458E1
8.074728783E1,1.045929718E1,4.223481369E1,-1.861787796E1
8.075723183E1,1.085256195E1,4.219889069E1,-1.851990128E1
8.076717583E1,1.131320953E1,4.211394882E1,-1.849156570E1
8.077711983E1,1.165898895E1,4.193970108E1,-1.862686539E1
8.078706383E1,1.201850891E1,4.175399399E1,-1.857260513E1
8.079700783E1,1.225518036E1,4.164277267E1,-1.873258591E1
8.080695183E1,1.261375427E1,4.153702164E1,-1.886118698E1
8.081689483E1,1.288963318E1,4.117674637E1,-1.889300919E1
8.082683883E1,1.315691376E1,4.104062271E1,-1.920485306E1
8.083678283E1,1.337519836E1,4.090378571E1,-1.971047592E1
8.084672683E1,1.355506134E1,4.071459579E1,-2.007153702E1
8.085667083E1,1.365552521E1,4.062932205E1,-2.011162949E1
8.086661483E1,1.365552521E1,4.062932205E1,-2.011162949E1
8.087655883E1,1.358440399E1,4.063323975E1,-2.010737228E1
8.088650283E1,1.341068268E1,4.077919769E1,-2.015288162E1
8.089644683E1,1.296360016E1,4.092527008E1,-2.029029465E1
8.090639083E1,1.272261047E1,4.092900848E1,-2.036206436E1
8.091633483E1,1.235587311E1,4.097592163E1,-2.058627701E1
8.092627883E1,1.195078278E1,4.110529709E1,-2.081508255E1
8.093622283E1,1.164426422E1,4.124117279E1,-2.072622299E1
8.094616683E1,1.158572388E1,4.123624420E1,-2.068812943E1
8.095611083E1,1.146178436E1,4.129206085E1,-2.059331894E1
8.096605483E1,1.139878082E1,4.124134064E1,-2.084460831E1
8.097599883E1,1.144703674E1,4.127629852E1,-2.112221909E1
8.098594183E1,1.147922516E1,4.124428558E1,-2.128761673E1
8.099588583E1,1.179807281E1,4.113190079E1,-2.139915848E1
8.100582983E1,1.196249390E1,4.096822357E1,-2.146379471E1
8.101577383E1,1.220159912E1,4.081095123E1,-2.158659744E1
8.102571783E1,1.244262695E1,4.076199722E1,-2.165919113E1
8.103566183E1,1.273902130E1,4.069100952E1,-2.189991379E1
8.104560583E1,1.293579102E1,4.048287201E1,-2.216615677E1
8.105554983E1,1.322819519E1,4.030570984E1,-2.243079758E1
8.106549383E1,1.341010284E1,4.008449554E1,-2.288088608E1
8.107543783E1,1.357179260E1,3.976256561E1,-2.326177597E1
8.108538183E1,1.371162415E1,3.948228073E1,-2.370100021E1
8.109532583E1,1.390225983E1,3.926649475E1,-2.427540207E1
8.110526983E1,1.392816162E1,3.883152771E1,-2.487697983E1
8.111521383E1,1.401647186E1,3.847080994E1,-2.551044846E1
8.112515783E1,1.433059692E1,3.798050690E1,-2.612715530E1
8.113510183E1,1.466523743E1,3.764129639E1,-2.674938583E1
8.114504483E1,1.471441650E1,3.728412628E1,-2.741324997E1
8.115498883E1,1.476578522E1,3.683782196E1,-2.771001053E1
8.116493283E1,1.462746429E1,3.660189056E1,-2.814923477E1
8.117487683E1,1.447237396E1,3.640823364E1,-2.863134384E1
8.118482083E1,1.439735413E1,3.612940598E1,-2.905913925E1
8.119476483E1,1.425218201E1,3.576583862E1,-2.963373184E1
8.120470883E1,1.396646881E1,3.546553802E1,-3.021407700E1
8.121465283E1,1.349744415E1,3.505970764E1,-3.084464645E1
8.122459683E1,1.269810486E1,3.452028275E1,-3.174580765E1
8.123454083E1,1.155849457E1,3.396500397E1,-3.279320145E1
8.124448483E1,9.974479675E0,3.335976410E1,-3.419780350E1
8.125442883E1,8.183189392E0,3.260023499E1,-3.554710007E1
8.126437296E1,6.201301575E0,3.172220612E1,-3.677902603E1
8.127431696E1,4.499069214E0,3.107454300E1,-3.776230240E1
8.128426096E1,3.214836121E0,3.046937943E1,-3.861999130E1
8.129420496E1,2.402076721E0,2.980985451E1,-3.928641129E1
8.130414896E1,1.912796021E0,2.925436592E1,-3.980234909E1
8.131409196E1,1.649559021E0,2.843529320E1,-4.024650955E1
8.132403596E1,1.286956787E0,2.786667442E1,-4.055630112E1
8.133397996E1,9.592056274E-1,2.742707253E1,-4.092266464E1
8.134392396E1,7.071075439E-1,2.695402145E1,-4.137614822E1
8.135386796E1,2.826690674E-1,2.633363533E1,-4.168080521E1
8.136381196E1,-8.943176270E-2,2.582548332E1,-4.211211014E1
8.137375596E1,-1.894912720E-1,2.550179291E1,-4.260407639E1
8.138369996E1,1.389312744E-2,2.526112175E1,-4.303384781E1
8.139364396E1,2.764205933E-1,2.499869156E1,-4.339424515E1
8.140358796E1,5.374832153E-1,2.479303169E1,-4.371688461E1
8.141353196E1,9.689941406E-1,2.458325768E1,-4.369427872E1
8.142347596E1,1.498619080E0,2.439363098E1,-4.358058548E1
8.143341996E1,1.889373779E0,2.406845474E1,-4.364671707E1
8.144336396E1,2.577224731E0,2.370329094E1,-4.390751266E1
8.145330796E1,3.225952148E0,2.310128593E1,-4.405922318E1
8.146325196E1,3.689598083E0,2.239098358E1,-4.426760483E1
8.147319596E1,4.328742981E0,2.171257019E1,-4.460711288E1
8.148313996E1,4.847648621E0,2.088180923E1,-4.495652390E1
8.149308296E1,5.283973694E0,2.022447777E1,-4.531277847E1
8.150302696E1,5.781326294E0,1.947530937E1,-4.539170456E1
8.151297096E1,6.259979248E0,1.859613609E1,-4.549929428E1
8.152291496E1,6.923881531E0,1.765183258E1,-4.595080185E1
8.153285896E1,7.571678162E0,1.674356270E1,-4.625394058E1
8.154280296E1,8.344490051E0,1.590489578E1,-4.643557358E1
8.155274696E1,9.191513062E0,1.498002434E1,-4.645135880E1
8.156269096E1,1.009397888E1,1.418748093E1,-4.646812057E1
8.157263496E1,1.074293518E1,1.347022629E1,-4.644563675E1
8.158257896E1,1.118494415E1,1.265174866E1,-4.665245438E1
8.159252296E1,1.151736450E1,1.191914368E1,-4.683623886E1
8.160246696E1,1.178398895E1,1.096957397E1,-4.708365250E1
8.161241096E1,1.196092224E1,1.000358582E1,-4.737626266E1
8.162235496E1,1.214093018E1,8.911560059E0,-4.755576706E1
8.163229896E1,1.205068970E1,7.825737000E0,-4.770820999E1
8.164224296E1,1.209964752E1,6.836448669E0,-4.777503586E1
8.165218696E1,1.211474609E1,5.813690186E0,-4.789661789E1
8.166213096E1,1.203221893E1,4.747241974E0,-4.801242447E1
8.167207496E1,1.165670013E1,3.635871887E0,-4.819581985E1
8.168201796E1,1.119883728E1,2.574832916E0,-4.832532883E1
8.169196196E1,1.074615479E1,1.408859253E0,-4.854909897E1
8.170190596E1,1.005690765E1,5.016746521E-1,-4.872024918E1
8.171184996E1,9.394004822E0,-4.424018860E-1,-4.899793625E1
8.172179396E1,8.674331665E0,-1.262638092E0,-4.923420334E1
8.173173796E1,7.863143921E0,-2.018905640E0,-4.910920334E1
8.174168196E1,6.930931091E0,-2.735836029E0,-4.914457321E1
8.175162596E1,6.055831909E0,-3.301559448E0,-4.921868515E1
